email_size,attachment_count,hour,day_of_week,content_length
29944,1,11,5,366
29030,2,11,5,441
21819,0,11,5,337
27107,0,11,5,317
28681,1,11,5,145
24172,0,11,5,296
49979,3,11,5,276
17740,1,11,5,432
48187,0,11,5,400
42644,2,11,5,432
25599,1,11,5,360
58458,0,11,5,356
35541,0,11,5,264
17212,1,11,5,355
25776,0,11,5,311
31858,1,11,5,283
27663,0,11,5,352
30698,2,11,5,407
45947,3,11,5,428
28177,1,11,5,278
27656,0,11,5,211
26160,0,11,5,233
19230,0,11,5,231
35260,1,11,5,404
27758,0,11,5,392
33398,2,12,5,394
19438,0,12,5,363
55546,0,12,5,317
25876,0,12,5,409
26891,2,12,5,312
24956,1,12,5,265
25728,0,12,5,345
21765,2,12,5,306
24719,0,12,5,364
39382,0,12,5,365
33162,0,12,5,232
16628,1,12,5,391
45652,0,12,5,387
33714,2,12,5,391
23939,1,12,5,385
25018,3,12,5,293
27239,0,12,5,374
37834,0,12,5,412
29542,0,12,5,415
29861,0,12,5,252
22664,0,12,5,290
14311,0,13,5,299
20560,1,13,5,271
21681,1,13,5,476
33827,1,13,5,273
35947,0,13,5,487
24190,0,13,5,374
24267,0,13,5,402
24971,0,13,5,489
27633,1,13,5,238
29374,0,13,5,311
24027,0,13,5,293
31460,0,13,5,335
40716,0,13,5,397
37450,0,13,5,345
25459,0,13,5,245
25279,0,13,5,380
35377,0,13,5,491
28280,0,13,5,413
31627,0,13,5,488
50690,0,13,5,364
27109,0,13,5,291
23283,0,13,5,339
28279,0,13,5,339
24765,1,14,5,266
29329,0,14,5,262
27617,0,14,5,338
34333,0,14,5,364
32014,0,14,5,379
26080,3,14,5,307
41582,0,14,5,377
35938,2,14,5,339
24925,0,14,5,455
42588,1,14,5,366
25076,0,14,5,291
29557,1,14,5,339
28728,0,14,5,310
21364,0,14,5,379
45376,1,14,5,462
38461,0,14,5,371
25195,0,14,5,420
20923,0,14,5,326
22467,0,14,5,386
36331,2,14,5,433
19677,0,14,5,384
23739,0,14,5,317
25277,0,14,5,373
21373,0,14,5,394
38708,1,14,5,330
40514,0,14,5,396
20614,0,14,5,430
23531,0,14,5,364
29469,3,14,5,368
31231,0,14,5,311
29974,0,14,5,333
26262,0,14,5,363
29906,0,14,5,340
22466,0,14,5,307
23693,0,14,5,343
28621,0,14,5,395
19147,0,14,5,388
36254,0,14,5,469
23824,0,14,5,273
21760,0,14,5,280
36517,0,14,5,233
25066,0,14,5,383
24969,0,14,5,424
27834,2,14,5,357
26019,0,14,5,317
20800,9,14,5,310
43515,2,14,5,358
40805,3,14,5,431
37073,0,14,5,373
42356,0,14,5,384
27465,0,14,5,343
17529,0,14,5,411
37135,2,14,5,335
21638,0,14,5,415
54774,0,14,5,245
47005,0,14,5,242
22264,0,14,5,329
21756,0,14,5,227
39057,0,14,5,320
23194,1,14,5,239
38924,3,14,5,331
32480,0,14,5,381
21307,0,15,5,198
56404,0,15,5,343
15787,0,15,5,393
49482,0,15,5,374
21555,0,15,5,285
43373,4,15,5,312
35590,1,15,5,362
35489,2,15,5,316
30828,0,15,5,399
38086,0,15,5,351
18957,0,15,5,280
18157,0,15,5,297
20641,0,15,5,309
30065,0,15,5,388
27431,0,15,5,383
26681,0,15,5,359
27589,0,15,5,223
37240,1,15,5,399
19929,0,15,5,455
24782,0,15,5,243
21102,2,15,5,473
28659,0,15,5,395
23698,0,15,5,411
25862,0,15,5,382
24720,0,15,5,362
39047,0,15,5,365
43399,0,15,5,289
24455,0,15,5,346
26465,1,15,5,369
26002,0,15,5,296
18821,0,15,5,453
30582,1,15,5,326
20535,0,15,5,317
26619,0,15,5,368
21949,0,15,5,397
30266,1,15,5,379
36997,0,15,5,333
21976,0,15,5,382
35317,1,15,5,368
36163,1,15,5,461
33680,1,15,5,335
41266,0,15,5,219
28049,0,15,5,350
42292,0,16,5,369
43311,0,16,5,495
30178,0,16,5,507
58287,1,16,5,390
48276,0,16,5,327
37528,2,16,5,306
22555,0,16,5,314
32045,0,16,5,341
24535,0,16,5,277
55068,0,16,5,230
30030,1,16,5,421
40221,0,16,5,271
21265,0,16,5,339
43945,0,16,5,365
24523,0,16,5,391
24911,0,16,5,271
15293,0,16,5,340
22459,0,16,5,281
24598,1,16,5,347
26242,0,16,5,512
18402,0,16,5,250
37070,0,16,5,286
16535,2,17,5,458
46979,0,17,5,453
16546,1,17,5,183
27538,0,17,5,396
19996,0,17,5,385
22890,0,17,5,202
36782,0,17,5,470
17184,0,17,5,598
26884,0,17,5,356
31429,0,17,5,497
22248,0,17,5,477
33154,1,17,5,412
36864,2,17,5,487
21230,0,18,5,307
31895,0,18,5,384
23411,0,18,5,286
25691,0,18,5,424
39419,0,18,5,262
44499,2,18,5,189
33546,0,18,5,383
37744,0,18,5,345
17166,0,18,5,414
34118,0,18,5,270
24046,1,18,5,304
33222,1,18,5,350
47076,1,18,5,329
30228,2,19,5,318
30978,0,7,6,313
35513,1,7,6,237
35385,0,7,6,402
17702,3,7,6,183
15179,0,7,6,416
29211,0,7,6,285
16724,0,7,6,310
14762,0,7,6,402
32795,0,7,6,403
47382,0,7,6,299
22052,0,7,6,468
39542,0,7,6,229
22805,0,7,6,436
18882,0,7,6,505
11600,3,7,6,335
17180,1,7,6,288
30515,0,7,6,279
36803,0,7,6,419
30946,0,7,6,271
29332,0,7,6,297
11225,0,7,6,504
30394,0,7,6,224
23951,1,8,6,366
35863,0,8,6,385
30614,0,8,6,382
18355,2,8,6,365
42062,0,8,6,201
19252,0,8,6,244
23678,0,8,6,354
27601,0,8,6,412
27988,0,8,6,391
33659,2,8,6,295
21157,2,8,6,375
27452,1,8,6,528
40495,0,8,6,353
36304,0,8,6,284
32188,0,8,6,442
29195,2,8,6,403
29369,0,8,6,198
26108,1,8,6,329
22771,0,8,6,257
18069,0,8,6,368
29234,1,8,6,375
17180,0,8,6,336
21346,1,8,6,353
29881,0,9,6,424
46647,0,9,6,425
27004,0,9,6,397
16622,0,9,6,403
26118,0,9,6,329
30674,0,9,6,258
20351,1,9,6,358
32803,0,9,6,393
27255,6,9,6,432
25744,1,9,6,229
31548,0,9,6,453
23311,3,9,6,293
19010,0,9,6,367
19514,0,9,6,510
22686,0,9,6,352
45180,0,9,6,329
21724,0,9,6,349
37786,0,9,6,202
35043,1,9,6,418
33421,0,9,6,394
35209,2,9,6,305
19762,0,9,6,408
22660,0,9,6,250
20089,1,9,6,367
26765,0,9,6,338
31035,9,9,6,542
35632,0,9,6,215
33737,0,9,6,545
26546,4,9,6,369
24451,1,9,6,260
28305,0,9,6,510
37149,1,9,6,317
42022,0,9,6,396
35467,0,9,6,297
28890,0,9,6,385
35154,0,9,6,396
33474,2,9,6,374
24642,0,9,6,496
18493,3,9,6,219
30861,1,9,6,285
24089,2,9,6,468
30272,0,9,6,251
21687,0,9,6,270
22295,0,9,6,375
19301,0,9,6,431
27807,0,9,6,356
27829,1,9,6,420
20286,0,9,6,262
31392,0,9,6,229
45730,0,9,6,247
33268,1,10,6,261
37341,0,10,6,268
33689,0,10,6,308
21829,0,10,6,482
48575,0,10,6,403
18639,0,10,6,414
24414,1,10,6,344
26736,0,10,6,440
28246,0,10,6,359
33426,0,10,6,438
23292,0,10,6,197
20905,1,10,6,418
28641,0,10,6,242
25924,3,10,6,362
45323,2,10,6,513
21350,0,10,6,277
27060,5,10,6,323
34741,0,10,6,444
29179,0,10,6,331
27066,0,10,6,359
26863,0,10,6,416
32699,0,10,6,329
18900,0,10,6,412
29323,1,10,6,380
18274,1,10,6,300
19074,2,10,6,246
20383,0,10,6,378
50401,0,10,6,378
11741,0,10,6,397
27031,1,10,6,512
51965,0,10,6,414
22153,2,10,6,348
41907,0,10,6,406
27200,2,10,6,383
20600,0,10,6,275
35081,0,10,6,499
54176,0,10,6,228
56520,0,10,6,244
57670,2,10,6,289
18408,8,10,6,284
35197,0,10,6,473
19241,1,10,6,367
61741,0,11,6,297
24970,0,11,6,251
30296,2,11,6,270
22450,0,11,6,394
32238,2,11,6,357
39250,0,11,6,459
32084,2,11,6,299
30081,0,11,6,194
28739,0,11,6,433
27001,1,11,6,323
47302,0,11,6,276
40086,3,11,6,318
45403,0,11,6,341
26894,1,11,6,329
35468,0,11,6,364
22498,0,11,6,300
37464,0,11,6,271
29078,0,11,6,235
28268,0,11,6,309
26244,0,11,6,513
16555,0,11,6,265
11363,2,11,6,434
26240,0,11,6,317
29371,0,11,6,384
22886,1,12,6,377
24918,0,12,6,367
31343,1,12,6,359
27011,0,12,6,272
38009,0,12,6,356
21311,0,12,6,330
28132,1,12,6,345
34248,1,12,6,349
30427,0,12,6,449
26639,0,12,6,389
30221,0,12,6,465
25470,0,12,6,320
17895,0,12,6,219
17748,2,12,6,435
46317,0,12,6,351
39292,1,12,6,367
38397,0,12,6,310
18230,0,12,6,363
21693,0,12,6,237
28225,0,12,6,413
54783,1,12,6,444
25834,2,12,6,260
25428,0,12,6,518
35002,0,12,6,408
38272,0,12,6,439
24831,3,12,6,325
25415,0,12,6,347
31685,0,12,6,469
34869,1,12,6,306
35035,0,12,6,461
12777,0,12,6,236
34824,0,12,6,437
40989,0,12,6,432
32821,3,12,6,255
35601,0,12,6,423
29183,0,12,6,362
24603,1,12,6,321
33448,7,12,6,401
26640,0,12,6,402
31300,0,12,6,352
37451,0,13,6,393
23039,0,13,6,391
42148,0,13,6,361
38699,0,13,6,260
16513,0,13,6,387
40787,1,13,6,197
28659,0,13,6,475
22015,1,13,6,458
36436,4,13,6,352
43393,0,13,6,269
24534,1,13,6,207
27418,1,13,6,392
24428,5,13,6,345
21038,0,13,6,348
9449,0,13,6,339
25795,1,13,6,307
24022,0,13,6,417
23514,0,13,6,259
21604,1,13,6,390
30196,0,13,6,300
44443,3,13,6,415
17683,6,13,6,484
21746,0,13,6,324
32451,0,13,6,355
22233,0,13,6,252
23336,0,13,6,301
37523,1,13,6,398
29367,1,13,6,424
34219,0,13,6,409
17047,0,13,6,382
32832,0,13,6,349
12515,0,13,6,395
28303,1,13,6,359
26152,0,13,6,230
12737,1,13,6,328
21624,0,13,6,393
33725,0,13,6,243
26320,2,13,6,465
24009,0,13,6,363
20793,0,13,6,303
21116,0,13,6,373
34455,0,14,6,313
22308,0,14,6,398
42609,0,14,6,415
31959,0,14,6,456
40627,1,14,6,349
25597,0,14,6,442
36868,0,14,6,411
15436,0,14,6,290
34855,1,14,6,211
20913,0,14,6,316
22047,0,14,6,283
28490,1,14,6,286
25754,0,14,6,476
22909,0,14,6,396
25391,0,14,6,447
34331,0,14,6,412
25321,0,14,6,212
41130,4,14,6,236
30445,0,14,6,330
17923,1,14,6,208
31795,0,14,6,445
45136,1,14,6,344
47789,1,14,6,323
21158,0,14,6,361
42845,0,14,6,271
19961,0,14,6,394
20672,0,14,6,251
21577,7,14,6,293
27568,2,14,6,446
19153,0,14,6,499
19455,0,14,6,381
31319,0,14,6,433
37108,0,14,6,283
25887,0,14,6,328
29757,0,14,6,257
28594,2,14,6,275
28353,0,14,6,187
36445,1,14,6,243
22589,0,15,6,367
35828,0,15,6,288
46387,6,15,6,406
35486,0,15,6,324
30983,0,15,6,332
29166,0,15,6,307
27271,2,15,6,299
35716,2,15,6,327
28677,1,15,6,310
39745,0,15,6,261
19101,0,15,6,401
21961,0,15,6,305
38371,0,15,6,393
20818,0,15,6,258
49681,1,15,6,408
44390,1,15,6,306
25708,0,15,6,360
25169,1,15,6,304
23230,0,15,6,222
45766,3,15,6,240
29903,3,15,6,400
40390,2,15,6,364
12086,1,15,6,304
27458,1,15,6,281
18977,0,15,6,383
25712,0,15,6,403
23432,0,15,6,378
23225,0,15,6,369
34219,0,15,6,370
41822,2,15,6,269
50708,0,15,6,370
17344,1,15,6,385
30017,0,15,6,443
31646,0,15,6,281
30907,1,15,6,394
29518,0,15,6,431
18723,2,15,6,352
17348,0,15,6,493
27462,1,15,6,284
28155,5,15,6,379
48018,0,15,6,233
33931,0,15,6,402
18989,0,15,6,284
38901,0,15,6,382
29862,0,15,6,275
36701,0,15,6,293
47537,0,15,6,345
27014,0,15,6,312
39299,0,15,6,464
74085,0,15,6,406
35505,0,16,6,460
21821,0,16,6,284
30466,0,16,6,302
21068,2,16,6,308
20601,0,16,6,381
24829,1,16,6,405
14917,1,16,6,362
38171,0,16,6,347
17105,0,16,6,432
25820,0,16,6,327
21534,0,16,6,361
15058,3,16,6,354
17426,1,16,6,323
48323,1,16,6,366
34256,2,16,6,362
24668,0,16,6,380
39378,0,16,6,398
32215,0,16,6,383
29939,2,16,6,415
23017,0,16,6,403
16347,0,16,6,292
30277,0,16,6,478
40319,1,16,6,278
28836,0,16,6,367
25231,0,16,6,463
29545,0,16,6,436
27139,0,16,6,416
35596,6,16,6,310
43924,1,16,6,434
19643,0,16,6,484
30369,0,16,6,413
23936,0,16,6,344
29061,0,16,6,438
27298,0,16,6,389
24283,0,17,6,399
19675,0,17,6,287
27939,0,17,6,340
20891,0,17,6,347
22463,1,17,6,388
20474,0,17,6,241
35777,7,17,6,349
36176,0,17,6,364
21495,0,17,6,200
26933,2,18,6,446
19047,0,18,6,436
24656,0,18,6,283
34024,0,18,6,342
32745,3,18,6,317
23137,0,18,6,547
49269,0,18,6,409
23092,2,18,6,313
27562,0,19,6,347
18303,0,19,6,464
27743,0,19,6,332
35139,0,19,6,349
21339,0,20,6,281
19130,0,20,6,260
39314,0,20,6,376
44866,0,20,6,390
25512,0,20,6,285
25069,1,6,0,304
18952,0,6,0,425
22662,0,6,0,335
30300,0,6,0,429
39383,0,7,0,301
20114,0,7,0,414
25403,2,7,0,325
18619,0,7,0,414
36805,0,7,0,418
24153,0,7,0,408
26024,1,7,0,420
35131,0,7,0,356
21284,0,7,0,442
35302,0,7,0,494
28717,1,7,0,356
24991,0,7,0,272
25829,0,7,0,385
30251,0,7,0,390
19230,3,7,0,324
21978,0,7,0,395
30849,0,7,0,272
65163,0,7,0,296
45392,1,7,0,329
21131,0,7,0,346
26218,0,7,0,428
23964,0,7,0,428
22366,2,7,0,313
24543,0,7,0,338
19545,0,7,0,397
21867,0,7,0,350
33369,2,7,0,444
57562,1,7,0,377
28684,0,7,0,352
31722,0,7,0,286
26164,0,7,0,309
34690,2,7,0,482
31410,1,7,0,310
25776,0,7,0,240
29106,1,7,0,325
23264,2,7,0,495
29333,1,7,0,368
20472,0,7,0,364
37283,0,7,0,434
27348,0,7,0,340
36525,1,7,0,349
65090,0,7,0,375
46177,0,7,0,388
16973,1,7,0,303
27771,2,7,0,377
31110,0,7,0,251
32686,0,7,0,318
17963,0,7,0,449
17204,0,7,0,381
15415,1,7,0,349
27669,0,7,0,356
16653,0,7,0,404
37571,2,7,0,314
27040,0,7,0,397
46180,0,7,0,281
20946,1,7,0,359
40549,0,7,0,251
28412,1,7,0,432
55141,0,7,0,307
38063,0,7,0,275
33730,0,7,0,384
55195,0,7,0,417
36914,0,7,0,372
22032,0,7,0,359
38458,0,7,0,325
57080,2,7,0,394
25821,0,7,0,372
33411,1,7,0,254
16327,0,7,0,418
30819,0,7,0,250
36665,0,7,0,244
19793,0,7,0,361
25352,2,7,0,349
32367,0,7,0,407
21500,0,7,0,258
24209,0,7,0,336
66518,0,7,0,354
29941,0,7,0,276
18683,0,7,0,313
29330,0,7,0,316
26464,0,7,0,316
20900,0,7,0,231
34716,0,7,0,268
12461,0,7,0,450
21414,0,7,0,308
46366,0,7,0,455
26522,1,7,0,366
21287,0,7,0,386
24664,0,7,0,397
40484,0,7,0,309
32330,1,7,0,362
26617,5,7,0,313
33004,0,7,0,349
29342,0,7,0,284
28278,0,7,0,406
43029,0,7,0,335
24457,0,7,0,481
25791,1,7,0,324
44684,1,7,0,431
49449,0,7,0,277
24802,0,7,0,369
32465,2,7,0,441
42765,0,7,0,342
29776,1,7,0,360
27236,0,7,0,489
36499,0,7,0,460
17487,0,7,0,492
22060,0,7,0,365
25923,0,7,0,286
27917,0,7,0,377
26355,1,7,0,301
21046,0,7,0,354
31387,0,7,0,332
36142,0,7,0,294
32448,1,7,0,394
34650,0,7,0,310
31808,2,7,0,266
24318,0,7,0,408
24528,6,7,0,388
20568,0,7,0,345
27076,0,7,0,387
30104,0,7,0,419
16208,0,7,0,309
36736,7,7,0,489
42560,0,7,0,441
27490,0,7,0,349
28296,0,7,0,312
32574,2,7,0,327
36328,0,7,0,465
27746,0,7,0,366
16425,0,7,0,370
35381,0,7,0,235
23404,1,7,0,273
20833,0,7,0,364
29430,0,7,0,396
25675,0,7,0,315
53930,1,7,0,466
50798,0,7,0,390
30990,0,7,0,262
52903,0,7,0,398
40062,0,7,0,389
37098,1,7,0,341
45062,0,7,0,309
42324,0,7,0,291
20159,0,7,0,441
21610,0,7,0,385
15662,0,7,0,418
19069,0,7,0,426
35789,0,7,0,362
31324,0,7,0,304
21558,0,7,0,383
31674,4,7,0,220
19755,0,7,0,369
28244,0,7,0,250
39805,1,7,0,278
45988,2,7,0,313
17890,0,7,0,453
34193,0,7,0,329
17010,0,7,0,475
25935,1,7,0,202
30501,0,7,0,470
23966,0,7,0,393
21082,0,7,0,345
25439,0,7,0,325
25569,1,7,0,259
20303,0,7,0,488
22879,0,7,0,527
45040,0,7,0,383
25940,0,7,0,443
29456,0,7,0,450
10968,0,7,0,374
21219,0,7,0,442
22121,0,7,0,304
51023,0,7,0,296
19858,0,7,0,323
28404,0,7,0,311
27854,7,7,0,287
32305,0,7,0,395
24322,0,7,0,380
27806,0,7,0,361
26489,1,7,0,263
14962,0,7,0,452
34947,0,7,0,399
24094,1,7,0,329
36127,0,7,0,385
43669,0,7,0,343
11275,1,7,0,388
20576,0,7,0,457
27831,0,7,0,412
24463,3,7,0,292
21653,0,7,0,263
36036,0,7,0,342
26719,0,7,0,470
33332,0,7,0,242
38481,0,7,0,430
27572,0,7,0,417
26115,0,7,0,363
28331,0,7,0,324
31083,0,7,0,336
30002,4,7,0,292
51477,0,7,0,503
19689,0,7,0,345
34884,0,7,0,304
25779,0,7,0,423
29976,0,7,0,214
28008,0,7,0,403
44459,0,7,0,240
16946,0,7,0,314
32202,2,7,0,334
26174,0,7,0,169
39090,0,7,0,284
37659,0,7,0,433
35965,0,7,0,337
33368,0,7,0,369
21668,0,7,0,299
16983,0,7,0,370
20488,0,7,0,407
50544,0,7,0,335
32892,0,7,0,316
25365,0,7,0,277
23493,0,7,0,337
34229,7,7,0,502
26378,0,7,0,472
44365,1,7,0,351
30562,2,7,0,192
27452,0,7,0,358
29776,0,7,0,330
47067,0,7,0,418
21394,0,7,0,346
25365,0,7,0,219
26754,0,7,0,270
39063,0,7,0,306
23361,0,7,0,406
21322,0,7,0,385
41367,0,7,0,408
32581,2,7,0,355
29198,0,7,0,455
74950,0,7,0,333
20661,1,7,0,357
18575,0,7,0,384
23719,0,7,0,324
34047,1,7,0,212
34131,0,7,0,456
19063,0,7,0,342
28228,0,7,0,294
25575,0,7,0,435
27035,0,7,0,370
35207,0,7,0,314
40185,2,7,0,396
19682,0,7,0,328
34364,0,7,0,400
20453,0,7,0,365
27589,0,7,0,339
45994,0,7,0,381
18124,0,7,0,399
25863,0,7,0,509
21064,0,7,0,484
44117,0,7,0,391
19401,0,7,0,397
40118,0,7,0,366
20444,2,7,0,221
28712,0,7,0,445
33048,1,7,0,335
24386,0,7,0,348
33110,0,7,0,410
56892,0,7,0,441
46491,0,7,0,466
31336,0,7,0,269
65623,0,7,0,381
16395,0,7,0,492
58802,2,7,0,413
28575,0,7,0,244
27309,0,7,0,360
31410,1,7,0,325
24924,1,7,0,303
24715,0,7,0,359
26473,0,7,0,260
22717,0,7,0,383
29156,2,7,0,395
21651,0,7,0,541
34597,7,7,0,380
39287,0,7,0,389
28992,0,7,0,408
24148,0,7,0,356
29993,0,7,0,280
15805,0,7,0,324
54219,0,7,0,334
35066,0,7,0,349
28275,0,7,0,348
28037,0,7,0,467
20395,0,7,0,363
18418,0,7,0,348
14782,0,7,0,348
19125,0,7,0,383
28860,0,7,0,308
24357,0,7,0,376
38831,0,7,0,266
24035,1,7,0,343
37292,0,7,0,302
28214,1,7,0,459
13429,5,7,0,377
28599,0,7,0,309
35234,0,7,0,212
23442,0,7,0,338
25782,0,7,0,428
20724,0,7,0,369
26244,5,7,0,458
36914,0,7,0,491
29617,0,7,0,331
27259,0,7,0,434
28128,0,7,0,271
22320,0,7,0,423
54323,2,7,0,393
34465,0,7,0,416
44787,0,7,0,300
54782,1,7,0,223
21345,0,7,0,316
25458,0,7,0,359
23320,0,7,0,399
43203,0,7,0,305
23409,0,7,0,493
50547,0,7,0,424
32440,0,7,0,304
33089,0,7,0,307
41511,0,7,0,433
23066,0,7,0,360
40514,0,7,0,374
36466,0,8,0,267
34223,0,8,0,186
12197,0,8,0,406
19005,0,8,0,100
26224,0,8,0,412
53912,0,8,0,365
24263,0,8,0,315
27800,1,8,0,210
49158,0,8,0,390
26719,0,8,0,356
19521,0,8,0,284
43265,0,8,0,238
42116,7,8,0,446
61762,3,8,0,349
31931,3,8,0,358
26715,0,8,0,232
16509,1,8,0,290
28965,0,8,0,359
29533,0,8,0,341
28028,0,8,0,273
45439,0,8,0,379
41597,0,8,0,471
31526,0,8,0,399
36775,1,8,0,322
34112,0,8,0,366
29897,2,8,0,343
32940,1,8,0,413
46792,0,8,0,340
35690,0,8,0,419
22325,1,8,0,253
40040,0,8,0,438
24563,0,8,0,453
23036,0,8,0,340
32780,0,8,0,357
47207,3,8,0,379
34171,3,8,0,341
40209,0,8,0,473
32271,2,8,0,415
29582,2,8,0,377
27086,0,8,0,333
23163,0,8,0,433
22152,0,8,0,198
28366,1,8,0,404
34445,0,8,0,302
22982,0,8,0,255
26211,0,8,0,372
35987,0,8,0,217
31896,0,8,0,391
21087,1,8,0,279
36765,0,8,0,422
26103,0,8,0,315
27079,0,8,0,439
36030,2,8,0,444
13070,0,8,0,410
24888,0,8,0,275
31335,2,8,0,212
32434,1,8,0,328
29572,1,8,0,439
15680,0,8,0,216
25595,0,8,0,468
42153,0,8,0,359
37888,0,8,0,451
56735,3,8,0,202
34573,0,8,0,289
46349,0,8,0,346
19760,0,8,0,408
39750,0,8,0,365
31747,1,8,0,349
25575,3,8,0,284
28753,0,8,0,402
19837,0,8,0,339
26382,0,8,0,420
25340,1,8,0,427
20748,0,8,0,340
39439,0,8,0,437
38216,0,8,0,469
25443,0,8,0,388
29646,0,8,0,345
36538,2,8,0,486
21445,0,8,0,269
29288,0,8,0,408
34427,0,8,0,382
26895,0,8,0,335
44386,0,8,0,337
16465,1,8,0,303
20748,0,8,0,334
11994,0,8,0,261
37246,0,8,0,295
27221,0,8,0,288
15371,0,8,0,298
17433,1,8,0,419
52913,0,8,0,384
31237,0,8,0,393
47325,7,8,0,358
27903,0,8,0,301
29208,0,8,0,363
28536,0,8,0,322
37569,0,8,0,556
18553,2,8,0,366
25899,0,8,0,262
49756,0,8,0,384
20024,0,8,0,394
23196,2,8,0,290
28172,0,8,0,308
20096,0,8,0,290
23868,0,8,0,417
25230,0,8,0,426
47747,0,8,0,434
20821,0,8,0,346
32388,0,8,0,390
39379,0,8,0,228
23880,0,8,0,358
38831,0,8,0,329
30547,0,8,0,215
37760,0,8,0,331
14559,0,8,0,306
37915,0,8,0,383
58247,0,8,0,373
23072,0,8,0,383
20637,0,8,0,461
41788,0,8,0,385
22419,0,8,0,250
26772,0,8,0,373
22792,0,8,0,405
26007,0,8,0,516
28986,0,8,0,208
29013,0,8,0,353
15651,0,8,0,477
17763,0,8,0,410
29172,0,8,0,302
33995,0,8,0,383
24751,1,8,0,262
21009,0,8,0,490
37470,0,8,0,503
31070,0,8,0,219
26965,0,8,0,462
31943,0,8,0,314
21677,0,8,0,361
38495,0,8,0,459
19615,0,8,0,397
29265,0,8,0,423
42798,1,8,0,341
14318,0,8,0,282
26297,1,8,0,492
44485,0,8,0,491
28263,1,8,0,371
29552,0,8,0,385
36203,0,8,0,384
31819,0,8,0,364
24303,5,8,0,334
29589,0,8,0,289
31315,1,8,0,361
35256,0,8,0,455
41080,1,8,0,462
43914,0,8,0,365
17974,0,8,0,347
41128,0,8,0,474
28204,0,8,0,520
31516,0,8,0,386
43886,0,8,0,398
44204,0,8,0,348
27215,0,8,0,415
25465,2,8,0,281
46084,1,8,0,409
27400,0,8,0,314
26482,0,8,0,313
36262,0,8,0,392
36082,0,8,0,235
34353,0,8,0,424
35867,1,8,0,381
61671,0,8,0,483
31176,0,8,0,411
43552,0,8,0,309
12827,0,8,0,440
42472,0,8,0,424
60250,1,8,0,289
29744,0,8,0,232
14032,0,8,0,302
24936,2,8,0,446
28089,0,8,0,398
23191,0,8,0,356
39484,0,8,0,384
38137,0,8,0,469
21147,0,8,0,247
26786,1,8,0,338
22414,0,8,0,292
49451,0,8,0,252
31806,0,8,0,388
23956,0,8,0,322
24819,0,8,0,360
42146,0,8,0,410
13381,0,8,0,442
30647,1,8,0,443
14517,1,8,0,371
24956,3,8,0,405
22810,0,8,0,426
16211,0,8,0,462
