id,date,user,pc,file_tree,activity
{G7E8-V8EQ80YH-7522HFCE},01/02/2010 08:38:05,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
{C3M1-O2OZ06NS-1175GOXU},01/02/2010 08:38:06,BCC2536,PC-0256,,Disconnect
{Y0D2-C7PV17GW-1649MYQO},01/02/2010 08:38:58,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{V7M7-G9TE62IQ-5043NBSW},01/02/2010 08:40:30,FAJ3608,PC-1335,,Disconnect
{W2C2-T7CF71OL-4892JWDH},01/02/2010 08:44:26,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
{C7A4-P2YT13DA-0526OTXK},01/02/2010 08:44:31,CHM1561,PC-7046,,Disconnect
{X3G1-H8WM98QL-1729BXSG},01/02/2010 08:47:45,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
{F4E4-Z5ZH53TQ-0592CABZ},01/02/2010 08:48:37,QAH1315,PC-3767,,Disconnect
{V3U9-V1DU35IF-9718LGJK},01/02/2010 08:49:08,JKS2444,PC-6961,,Disconnect
{P8A9-G5UR90DO-4020SKZS},01/02/2010 08:49:36,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
{Z5K8-J2IN75DX-2133NYFF},01/02/2010 08:50:46,BCC2536,PC-0256,,Disconnect
{C5Y5-Z7YP35UG-7007JRBA},01/02/2010 08:51:26,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{Q3V9-B3DE76JP-1651DWSR},01/02/2010 08:52:56,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
{Y3Z9-Q2ZZ31EC-2755CFWE},01/02/2010 08:53:24,CBA1023,PC-1570,,Disconnect
{U4C0-U3IQ14SY-6558QZUF},01/02/2010 08:53:43,HMR0098,PC-3930,R:\;R:\296Sb99;R:\36fcmM0;R:\58zjDC0;R:\922Sfj8;R:\HMR0098,Connect
{H1W8-S5CM54LO-2366AJVX},01/02/2010 08:56:28,HGH0727,PC-2482,,Disconnect
{M3X4-Z1NG28SR-4093YDJD},01/02/2010 08:59:52,CJM0273,PC-3471,,Disconnect
{E5Q4-X7GQ11GD-1162XLIX},01/02/2010 08:59:52,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
{R1P2-T5DO68OU-2827LKBI},01/02/2010 09:00:14,GNT0221,PC-6427,,Disconnect
{Y0K6-K7BT89GX-1332YMXD},01/02/2010 09:01:07,CPC0724,PC-8032,R:\;R:\18l9ZC4;R:\89Bk9v2;R:\CPC0724,Connect
{X0F8-Y0JW15QB-4000IJNP},01/02/2010 09:01:09,HMR0098,PC-3930,,Disconnect
{E4B2-M4HB39QA-2402GUPA},01/02/2010 09:02:07,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
{E5S6-L2TA16II-4193RGDE},01/02/2010 09:03:06,MWG1570,PC-0031,R:\;R:\31gwFr0;R:\93r1447;R:\MWG1570,Connect
{K1K2-F0BS97OS-2113CREM},01/02/2010 09:03:14,LAN1329,PC-8190,R:\;R:\21ZY773;R:\324xR29;R:\37mqq71;R:\54bR5h2;R:\LAN1329,Connect
{U0W2-V0EH66HY-4710PRPZ},01/02/2010 09:04:32,BCC2536,PC-0256,,Disconnect
{E4E0-X3TY79KM-6973EVYZ},01/02/2010 09:07:51,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
{U7C1-E0DM41JO-0106ZKUM},01/02/2010 09:08:13,SAM3855,PC-2428,,Disconnect
{Y9E0-Q2OO99JF-4502ZHXC},01/02/2010 09:09:27,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{F1F5-J6LI05OU-2808BISS},01/02/2010 09:09:32,YKW3832,PC-2158,,Disconnect
{U4O5-N3BT25SP-7084JRKE},01/02/2010 09:10:57,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{J2V1-D6BU35FT-0036UHEP},01/02/2010 09:11:44,JDM1042,PC-1105,R:\;R:\84xF4F2;R:\JDM1042,Connect
{N1P1-I4YO12ER-8805UZTZ},01/02/2010 09:12:27,JDM1042,PC-1105,,Disconnect
{T4K4-F0MN08DP-0180HRGM},01/02/2010 09:12:44,SDH2394,PC-5849,,Disconnect
{E1C4-R2SN74QL-0337CCQI},01/02/2010 09:12:47,LTW1441,PC-2126,R:\;R:\87FmP51;R:\95p3Rs4;R:\LTW1441,Connect
{D0N9-I8RA53TD-2765MUDY},01/02/2010 09:13:16,PNH1444,PC-6885,,Disconnect
{N6I1-P5DU65HF-5749JRZG},01/02/2010 09:14:04,CPC0724,PC-8032,,Disconnect
{P1J4-T5UA88CM-3109EXJC},01/02/2010 09:15:06,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
{J8Z9-I5FP85HT-6130BPLE},01/02/2010 09:15:15,QAH1315,PC-3767,,Disconnect
{G4H9-V2XR33DV-8888FWJW},01/02/2010 09:15:28,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
{S4A4-L2WC59DI-6161QOBW},01/02/2010 09:15:38,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{I9H6-Q5IY00WV-6504EVYW},01/02/2010 09:16:18,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
{X7I0-L8GM36BI-5696ISPB},01/02/2010 09:18:01,BCC2536,PC-0256,,Disconnect
{K5O8-F3MQ96UY-3481MYWC},01/02/2010 09:18:07,CBA1023,PC-1570,,Disconnect
{J0L1-V2XB75VT-6152SIWX},01/02/2010 09:18:11,PNH1444,PC-6885,,Disconnect
{G0C4-F5WX50TX-6115EKRV},01/02/2010 09:18:52,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{O5U5-R7LO18YI-8609QRLJ},01/02/2010 09:19:11,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
{Q2L3-M2EB71NG-9772FFYE},01/02/2010 09:21:36,PNH1444,PC-6885,,Disconnect
{E1B2-O6YB70UU-7767WKSZ},01/02/2010 09:21:42,GAH0525,PC-7394,R:\;R:\17sMzz0;R:\29b7C25;R:\41n5h45;R:\45cx3q2;R:\GAH0525,Connect
{Q5N9-O1NK02DH-2739OLID},01/02/2010 09:22:12,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{G4I8-H5SR13OH-3559SENR},01/02/2010 09:22:38,PNH1444,PC-6885,,Disconnect
{Y5I8-F8EK61SO-8102XRZY},01/02/2010 09:23:03,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
{A6E0-V2LX00CY-2380EUOH},01/02/2010 09:23:28,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
{M1W0-O1IF15IM-3009COWK},01/02/2010 09:23:31,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{J3X8-I5CT06UU-0825ITUL},01/02/2010 09:25:39,GRY1398,PC-3048,,Disconnect
{E3I9-N6YU08IV-2874TEQJ},01/02/2010 09:25:49,PNH1444,PC-6885,,Disconnect
{M6Q9-T1KA19UK-3709BQXM},01/02/2010 09:26:20,GDH2500,PC-9355,R:\;R:\14JJRl0;R:\32BwkH0;R:\GDH2500,Connect
{I2O3-B5VB47TZ-2724QSYW},01/02/2010 09:27:07,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
{W8T2-Q3HL08AN-6589QRKC},01/02/2010 09:27:50,SAM3855,PC-2428,,Disconnect
{V3K4-W7GU00HA-5276UTXU},01/02/2010 09:29:11,SAM3855,PC-2428,R:\;R:\31N1z65;R:\51T2D95;R:\984pXq8;R:\SAM3855,Connect
{I2Y0-Q4QH83RR-7708IBGJ},01/02/2010 09:29:33,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{X3G9-O1CL38SE-5475DEWB},01/02/2010 09:29:39,LAN1329,PC-8190,,Disconnect
{Y7F6-Y9QX62RM-9044QGPO},01/02/2010 09:29:58,ATT1191,PC-2057,,Disconnect
{M6Y6-Y5TK68JE-7708BPNO},01/02/2010 09:30:01,ACG3819,PC-6177,R:\;R:\246XP69;R:\62VKd81;R:\ACG3819,Connect
{M8X1-U5CS95RI-6244DGZP},01/02/2010 09:30:29,PNH1444,PC-6885,,Disconnect
{W6M1-C9LH06DK-5592KOUO},01/02/2010 09:31:30,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{S5U6-A1JC75AS-0400UVSU},01/02/2010 09:31:49,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
{O7C0-G8QA03EU-1511ROON},01/02/2010 09:32:33,GDH2500,PC-9355,,Disconnect
{M9V8-V9XQ34PC-5901JPIB},01/02/2010 09:34:13,PNH1444,PC-6885,,Disconnect
{U1I2-L5GP48IW-2270SBFO},01/02/2010 09:34:52,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{E0Q1-K9BJ78RU-7736CFBQ},01/02/2010 09:35:11,GAH0525,PC-7394,,Disconnect
{J4I7-R4WC66CI-8434YDAG},01/02/2010 09:35:39,PNH1444,PC-6885,,Disconnect
{A0N1-U0HO46LZ-2759TGQN},01/02/2010 09:35:45,JDM1042,PC-1105,R:\;R:\84xF4F2;R:\JDM1042,Connect
{J9H3-F6DX87GY-0175EZGB},01/02/2010 09:35:49,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
{U7F2-J1AO61NX-2277WRMD},01/02/2010 09:36:44,LTW1441,PC-2126,,Disconnect
{B8O5-U3JC70RC-0318YEYD},01/02/2010 09:36:54,CCT2165,PC-2738,R:\;R:\53x34P6;R:\85qcL81;R:\88t6p45;R:\CCT2165,Connect
{X4G9-O4LZ77RS-1657DSYE},01/02/2010 09:37:51,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
{Y2R9-Q7GV86HW-2797ZLJK},01/02/2010 09:38:03,PNH1444,PC-6885,R:\;R:\55C6Lp4;R:\PNH1444,Connect
{C5D5-X7BM29XU-9757NFJP},01/02/2010 09:38:31,GNT0221,PC-6427,,Disconnect
{Z4K5-I5UI39IW-6197YLNL},01/02/2010 09:38:50,CER0228,PC-5018,R:\;R:\119nyY8;R:\CER0228,Connect
{Y7E7-I8JL96OA-1907BDIR},01/02/2010 09:38:59,MWG1570,PC-0031,,Disconnect
{M9R0-C4TS33YB-8129JFTT},01/02/2010 09:41:05,HCS2231,PC-0563,R:\;R:\52Hsb21;R:\HCS2231,Connect
{F1I5-T7ZM26JP-4219DVJW},01/02/2010 09:41:16,FAJ3608,PC-1335,,Disconnect
{Y1F9-D7EN34FO-6818VCGJ},01/02/2010 09:41:21,ROR3483,PC-4365,R:\;R:\177Qcm8;R:\81c5yB4;R:\87zJ233;R:\ROR3483,Connect
{W6E7-Y6RI52ZA-6271OPGN},01/02/2010 09:41:32,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{Z0P9-T9CA75HT-1010VHFQ},01/02/2010 09:41:49,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
{K2R7-G1GB26NY-2155ZFWC},01/02/2010 09:41:50,SDH2394,PC-5849,,Disconnect
{I6P5-N1WP73IM-2849NGWI},01/02/2010 09:42:09,PNH1444,PC-6885,,Disconnect
{M0S1-D7YM82IN-6406ABYM},01/02/2010 09:43:06,CJM0273,PC-3471,,Disconnect
{Q6A6-D3HY39JI-5405KNLA},01/02/2010 09:43:30,CHM1561,PC-7046,R:\;R:\CHM1561,Connect
{F0G9-L6PO39PW-5800DRDN},01/02/2010 09:44:36,CQS2883,PC-6220,R:\;R:\61cx113;R:\CQS2883,Connect
{E2T5-J0UT44OQ-8518URPG},01/02/2010 09:44:43,GDH2500,PC-9355,R:\;R:\14JJRl0;R:\32BwkH0;R:\GDH2500,Connect
{L3X3-B7LR70HI-9271PCWX},01/02/2010 09:46:09,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
{F6G7-M3GW09EH-5953RBJO},01/02/2010 09:47:06,ACG3819,PC-6177,,Disconnect
{T4A3-N5ZJ12IL-1581CZPE},01/02/2010 09:47:29,ATT1191,PC-2057,,Disconnect
{A6E9-W9OX81WY-4613XAWS},01/02/2010 09:48:27,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
{Y0F4-J7WW04EB-0208DOIO},01/02/2010 09:48:39,BCC2536,PC-0256,,Disconnect
{E5X2-L6KY83LA-5722NFHM},01/02/2010 09:50:00,ROR3483,PC-4365,,Disconnect
{H4L7-M1ME70EX-0538UIJK},01/02/2010 09:50:07,AFP2709,PC-3154,,Disconnect
{G8F6-S8QV78LV-7714IDOK},01/02/2010 09:50:35,JDM1042,PC-1105,,Disconnect
{U6A1-Q3FD54GR-1303OMZJ},01/02/2010 09:51:17,RCT1697,PC-5770,,Disconnect
{H8V8-S2GC44DD-0215ICEP},01/02/2010 09:51:51,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
{Z8N7-S3IF48ER-1602VAUP},01/02/2010 09:52:11,CER0228,PC-5018,,Disconnect
{E5U3-X9OD79KR-8423YLUR},01/02/2010 09:52:22,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{T0U2-D9RF35FB-7632GTKW},01/02/2010 09:52:24,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
{I9D2-S6WP40KD-1037WUHQ},01/02/2010 09:53:00,RCT1697,PC-5770,,Disconnect
{U9M9-M1GI29RF-1230VHQI},01/02/2010 09:57:41,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
{V5F8-L0HV03JJ-1781LWJG},01/02/2010 09:57:44,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
{E6C4-E5AA65KE-5336GQJH},01/02/2010 10:01:13,JDM1042,PC-1105,R:\;R:\84xF4F2;R:\JDM1042,Connect
{D4Z4-C6CQ78IW-5556NUGO},01/02/2010 10:02:01,VPS3185,PC-3491,,Disconnect
{Y6Q3-X6DN95GG-7055NYOK},01/02/2010 10:02:03,VPS3185,PC-3491,R:\;R:\VPS3185,Connect
{S2Y8-D3CJ63SI-8563NUEO},01/02/2010 10:03:13,GRY1398,PC-3048,,Disconnect
{K4C4-T0KF81BK-1029GFAN},01/02/2010 10:03:24,CHM1561,PC-7046,,Disconnect
{D2H7-X7RK19FL-5268XWMP},01/02/2010 10:03:27,CQS2883,PC-6220,,Disconnect
{G7O4-J0AW42XK-9612VMRF},01/02/2010 10:03:33,GDH2500,PC-9355,,Disconnect
{G8D6-O1AM71PR-9400RVKV},01/02/2010 10:04:08,AFP2709,PC-3154,,Disconnect
{M1X3-Q2VW84NZ-6465DNMO},01/02/2010 10:04:50,JDM1042,PC-1105,,Disconnect
{I1G2-H1WL70BB-7552CDJB},01/02/2010 10:05:43,ATT1191,PC-2057,,Disconnect
{H4M0-L8MH50YH-3499YRMD},01/02/2010 10:06:21,AFP2709,PC-3154,R:\;R:\787PQ59;R:\AFP2709,Connect
{M5I3-J4VK18LY-7318HQWY},01/02/2010 10:06:34,BCC2536,PC-0256,,Disconnect
{K8F3-B7ZS13OY-8704INKA},01/02/2010 10:07:50,CJM0273,PC-3471,,Disconnect
{U5F0-T4MG04XH-5499VTNO},01/02/2010 10:10:43,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
{B4D5-G9KR54XP-3426KRMQ},01/02/2010 10:10:48,AFP2709,PC-3154,,Disconnect
{K6H3-X1WJ86KM-8801EDYD},01/02/2010 10:11:13,CLR2407,PC-2704,R:\;R:\12Bf2v2;R:\39KkVd0;R:\44m3yx4;R:\83p4727;R:\CLR2407,Connect
{W4G7-P3JL84SI-4853JKHB},01/02/2010 10:17:20,ATH0225,PC-7844,,Disconnect
{E7A4-O4HH34FJ-2039QLBB},01/02/2010 10:19:12,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
{Z5O5-Z6EL93OU-4034SDCE},01/02/2010 10:20:11,CCT2165,PC-2738,,Disconnect
{U2D4-Q4GC63WQ-2815PFDO},01/02/2010 10:20:11,HGH0727,PC-2482,,Disconnect
{Y0Y6-J1YC44CR-8665SNYK},01/02/2010 10:24:02,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{J9X1-V8ND18JQ-7945STRK},01/02/2010 10:25:58,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
{I5O4-K0VL57MH-5285DFWT},01/02/2010 10:26:05,RCS2064,PC-3218,R:\;R:\11N58q6;R:\89K8Zh4;R:\RCS2064,Connect
{Y4A1-A9RM96MK-9418ODNU},01/02/2010 10:27:00,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
{R7Z7-H4WA18TE-5286DNMP},01/02/2010 10:27:16,SAM3855,PC-2428,,Disconnect
{D0U9-Y6SZ34QS-1534AVGD},01/02/2010 10:27:21,RAA1455,PC-7117,R:\;R:\46D6D95;R:\51Vrb41;R:\84q4JP4;R:\88l7W95;R:\RAA1455,Connect
{G9T8-Q5YB96CM-9175QWIK},01/02/2010 10:28:36,CLR2407,PC-2704,,Disconnect
{C0F3-X6WG47LO-5167FWXY},01/02/2010 10:28:40,HCS2231,PC-0563,,Disconnect
{D2F7-X6CX79ON-6319RYQQ},01/02/2010 10:29:00,ATH0225,PC-7844,,Disconnect
{O9N7-W3GR34CH-1153MCZI},01/02/2010 10:30:25,VPS3185,PC-3491,,Disconnect
{C9H5-M9IB39ZT-9809OYPL},01/02/2010 10:32:19,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
{B4Z8-C5ML41NA-3753GCJE},01/02/2010 10:32:29,CQS2883,PC-6220,R:\;R:\61cx113;R:\CQS2883,Connect
{Z5S9-I3GS56GL-3448ZECK},01/02/2010 10:33:34,RAA1455,PC-7117,,Disconnect
{D8B8-T7EC93JL-4158YCSE},01/02/2010 10:33:43,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
{O7T9-V6UJ11BD-7682KAOA},01/02/2010 10:35:46,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
{T1R2-Q3NC46GO-2778JAWP},01/02/2010 10:36:36,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
{Z6X9-K7CD36MP-5608CTPM},01/02/2010 10:37:02,FAJ3608,PC-1335,,Disconnect
{U7U0-H3CO19JI-8343WGPK},01/02/2010 10:40:17,AKB2312,PC-0937,,Disconnect
{T5T1-H1GL98SK-4162BGZK},01/02/2010 10:40:31,ATH0225,PC-7844,,Disconnect
{B0W1-F6YL59WG-8210LOLT},01/02/2010 10:40:54,YKW3832,PC-2158,,Disconnect
{E2I7-P1NX05AQ-1221PTIU},01/02/2010 10:41:18,GRY1398,PC-3048,,Disconnect
{U6F6-Y6PW34FY-7988GPDM},01/02/2010 10:46:25,YKW3832,PC-2158,R:\;R:\74Fv753;R:\94ZH5l2;R:\YKW3832,Connect
{L1I1-U7RN06FW-3416EPZJ},01/02/2010 10:46:40,OKH3777,PC-5467,R:\;R:\13y9937;R:\21fz413;R:\59N9947;R:\98F7167;R:\OKH3777,Connect
{E6J5-J8DI56NF-5510WLAX},01/02/2010 10:48:16,ATT1191,PC-2057,R:\;R:\299Vq39;R:\92Qqr11;R:\92yXz81;R:\97bDZ21;R:\ATT1191,Connect
{M6W1-P5RQ34JT-3718COTD},01/02/2010 10:48:59,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
{G6U4-S3HQ98FU-2703LLNC},01/02/2010 10:49:05,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
{J2K3-X8YH98HV-2866MLFJ},01/02/2010 10:49:33,ATH0225,PC-7844,,Disconnect
{E4C4-N2FU73SH-5987ABWE},01/02/2010 10:51:28,HGH0727,PC-2482,R:\;R:\16QxYq0;R:\47q3837;R:\54y3717;R:\63Gv4j2;R:\HGH0727,Connect
{Z0A8-A8GV55EH-6118ZRHP},01/02/2010 10:51:29,ATH0225,PC-7844,R:\;R:\13x1p75;R:\27QJ5H2;R:\73ln1M2;R:\ATH0225,Connect
{T2L7-G4BG57KR-7704FLKF},01/02/2010 10:51:31,HGH0727,PC-2482,,Disconnect
{C3E7-X3EC63FT-4349LADA},01/02/2010 10:51:54,ATT1191,PC-2057,,Disconnect
{W4Y8-Z3OK86NV-2166IQKK},01/02/2010 10:52:00,AKB2312,PC-0937,,Disconnect
{B7B6-R9UV43KJ-6855RJSM},01/02/2010 10:52:21,QAH1315,PC-3767,,Disconnect
