id,date,user,pc,activity
{Y7I3-B7IA96VA-5018LJNR},01/02/2010 07:49:00,CCT2165,PC-2738,Logon
{Z9A5-Q4SV68JK-3221QQNH},01/02/2010 07:49:00,CTP2225,PC-1784,Logon
{P4P7-S3KE40BO-5814OBWB},01/02/2010 07:49:00,IBP1616,PC-8035,Logon
{Y3N8-H4EK83BV-5927IXNG},01/02/2010 07:49:00,SAB3860,PC-9388,Logon
{O8S1-T5FQ50WN-7424FDIE},01/02/2010 07:49:00,SER0621,PC-5436,Logon
{Z3J2-M8JK05PO-3925DFDV},01/02/2010 07:50:00,AKB2312,PC-0937,Logon
{A6D1-E8FI90QD-3298RMDQ},01/02/2010 07:50:00,BNF1110,PC-0619,Logon
{B0A5-W9ZU29CZ-0600BFKA},01/02/2010 07:50:00,GES2626,PC-8285,Logon
{H5H4-O9XV22LB-5217YSLH},01/02/2010 07:50:00,KSO2224,PC-6807,Logon
{G5F1-Q4FC19AH-8790SWOT},01/02/2010 07:51:00,ATM1615,PC-9996,Logon
{M5I6-O2VQ75LY-2548HMJM},01/02/2010 07:51:00,BDR0510,PC-1197,Logon
{N9P2-Z8DW73PU-0739AILA},01/02/2010 07:51:00,CJM3315,PC-0055,Logon
{K0B8-P1AW55DB-3715IEGW},01/02/2010 07:51:00,SDH1556,PC-1870,Logon
{E3W2-R2NS60LZ-5567PJGH},01/02/2010 07:52:00,ABP2917,PC-7947,Logon
{J4Y5-Q9EH72CE-4981XAOY},01/02/2010 07:52:00,GCN1743,PC-8848,Logon
{Y3K9-W4KQ74ZK-2071DEKK},01/02/2010 07:52:00,LAN1329,PC-8190,Logon
{G2C1-P8XJ30JX-2407RWSN},01/02/2010 07:52:00,NNM2862,PC-2840,Logon
{R4F2-Y4RD78MO-5943EWRZ},01/02/2010 07:53:00,CMD0613,PC-8839,Logon
{L9E4-Z8XH91QM-4836NPQX},01/02/2010 07:53:00,ENS1748,PC-5920,Logon
{N7Y9-L9XL49GE-2895GUBY},01/02/2010 07:53:00,GRP0277,PC-2590,Logon
{Q9Y1-P7OX43NR-7587EPLF},01/02/2010 07:53:00,JAY3851,PC-8807,Logon
{Y7B0-W8MM98RX-8543XAZZ},01/02/2010 07:53:00,KBP0384,PC-9322,Logon
{P4T3-V9IK60LC-1041HCIK},01/02/2010 07:53:00,MWG1570,PC-0031,Logon
{G2K2-Y8KD71LF-1914XPKD},01/02/2010 07:53:00,PKR1145,PC-1961,Logon
{L3F4-O6LZ78RH-9775DEZI},01/02/2010 07:53:00,SHB3512,PC-9060,Logon
{I2Y7-O5YO86MO-0710HBTS},01/02/2010 07:53:00,VEB3671,PC-1038,Logon
{G0N3-M9JN71EN-4255OFBA},01/02/2010 07:54:00,YCL0824,PC-6421,Logon
{W1O1-W4QG22NC-6342VGHJ},01/02/2010 07:54:00,YKW3832,PC-2158,Logon
{U9Z5-G1PP56NU-3287BTFT},01/02/2010 07:55:00,HMM2628,PC-4056,Logon
{D9R2-Q2NI13RL-5169TSQS},01/02/2010 07:56:00,LQW1314,PC-3932,Logon
{H2Q4-D5IZ69WX-7652VROD},01/02/2010 07:56:00,QAH1315,PC-3767,Logon
{Y3V9-K2BV21WV-7470AGCU},01/02/2010 07:56:00,ZDC2523,PC-2312,Logon
{G6P1-Q9BX28YF-1792YAXM},01/02/2010 07:57:00,AYD2775,PC-3839,Logon
{P9K3-G3BU01EE-5503LRQA},01/02/2010 07:57:00,SAM3855,PC-2428,Logon
{X0J6-I3AL67FR-8701TDBO},01/02/2010 07:57:00,UCW2995,PC-7862,Logon
{L4Z1-N4GX84YO-7531SUKJ},01/02/2010 07:58:00,BDB2163,PC-0401,Logon
{F4R4-R7UC12KT-9124PHTZ},01/02/2010 07:58:00,HCS2231,PC-0563,Logon
{Q8K5-N0TI05FJ-0541ZVRS},01/02/2010 07:58:00,KCR2291,PC-1603,Logon
{B6X2-J6ZO65AV-6839RFIG},01/02/2010 07:58:00,NRT1320,PC-2545,Logon
{L1T3-A1JG25HM-8252CXKZ},01/02/2010 07:58:00,TPS1568,PC-3022,Logon
{W4X7-P2QK91UX-9194JNSY},01/02/2010 07:59:00,BAW0780,PC-1561,Logon
{F9Z3-F3OR83IB-6409WBLS},01/02/2010 07:59:00,CHC0252,PC-8009,Logon
{U2V9-I5KW73FU-0329NGXA},01/02/2010 07:59:00,TDJ3138,PC-0550,Logon
{P9R8-O7IP38FO-3953IPUM},01/02/2010 08:00:00,CHM1561,PC-7046,Logon
{G4Q0-I4QD16JF-0942UUNP},01/02/2010 08:00:00,KPB1123,PC-2997,Logon
{S0K2-O6RI07FZ-7401FYPF},01/02/2010 08:01:00,FDV1224,PC-3565,Logon
{D2Y7-V5BM22BW-8616KXNI},01/02/2010 08:01:00,GAH0525,PC-7394,Logon
{B2H5-V5YQ44HY-7037QTGF},01/02/2010 08:02:00,VCF3273,PC-5191,Logon
{F6F7-N4AZ04QA-3626CHLT},01/02/2010 08:03:00,BKF1545,PC-9378,Logon
{A8T1-V6RX08VN-7663CUKH},01/02/2010 08:03:00,CRC0348,PC-9798,Logon
{K0W6-Z0IZ78PY-1316YTBD},01/02/2010 08:03:00,DTU3804,PC-5568,Logon
{R2R7-U8CU44JT-7981CQMA},01/02/2010 08:03:00,HMR0098,PC-3930,Logon
{L7A2-L6SF78LB-5518GMKE},01/02/2010 08:04:00,IPK2575,PC-0615,Logon
{L5G3-B7DX05CE-0284LJGR},01/02/2010 08:04:00,JJS2973,PC-4665,Logon
{I3U1-V1EV90NZ-7028RDSO},01/02/2010 08:05:00,EMK3809,PC-4281,Logon
{M8C9-Q1VA79HT-4383EDYU},01/02/2010 08:05:00,ONR3291,PC-9573,Logon
{M8F8-T1NU76RE-2717QYPO},01/02/2010 08:05:00,RPB0029,PC-1502,Logon
{Q9N9-X6LM86VR-4416ESTY},01/02/2010 08:06:00,ACG3819,PC-6177,Logon
{T7W2-V6DG55VB-7660EDBL},01/02/2010 08:06:49,WBB2321,PC-4945,Logon
{X8B6-Z3OF99XA-4512XOJA},01/02/2010 08:07:00,ABK3081,PC-1563,Logon
{B9A5-M8II07EQ-6478KLZW},01/02/2010 08:07:00,AKH0454,PC-2966,Logon
{L1K5-F9MM54DI-2304SZPD},01/02/2010 08:07:00,SKE3262,PC-7089,Logon
{M3X1-U8RB92ZR-6611IWGD},01/02/2010 08:08:00,REM0580,PC-6092,Logon
{K7H0-W8NC19ZF-1518TWDW},01/02/2010 08:08:00,WAF3438,PC-7900,Logon
{F7Q0-N3XQ71DK-0202GHPT},01/02/2010 08:09:00,MBN3610,PC-8169,Logon
{A4B4-H2RF31DM-9419DSUX},01/02/2010 08:09:00,NDK3436,PC-9671,Logon
{E9Y3-I8ZT68PW-4604HGSG},01/02/2010 08:09:00,YDM3898,PC-2220,Logon
{Q6B6-U7UE36QY-1909YJOI},01/02/2010 08:09:46,CCT2165,PC-3136,Logon
{S4V3-N4UQ18RW-2805BGUM},01/02/2010 08:10:00,IMC3296,PC-2659,Logon
{Q5X4-N4WS26PR-3743TTMB},01/02/2010 08:11:00,APB3823,PC-4062,Logon
{F6G6-N7XX12PC-1299LZFF},01/02/2010 08:11:00,DNS1758,PC-1055,Logon
{Z4V8-A8DL50XH-4281KGNE},01/02/2010 08:12:00,CDC3413,PC-1539,Logon
{L6T8-H0LU17KX-0511YELA},01/02/2010 08:12:00,MCC0856,PC-0666,Logon
{S4H8-E6EJ71LW-0241IXNZ},01/02/2010 08:12:00,SAD3259,PC-5036,Logon
{C1W2-L4QM50ZR-0490MXIE},01/02/2010 08:13:00,DPM2971,PC-5480,Logon
{N2S1-Y4RF07LA-7156IEYN},01/02/2010 08:13:00,FAJ3608,PC-1335,Logon
{L5K1-L1NL17VJ-9414WZTP},01/02/2010 08:14:00,AAS3428,PC-2084,Logon
{T3R1-Y5OZ91AZ-5157RZLU},01/02/2010 08:14:00,CWA2554,PC-4110,Logon
{E6N1-E7TA61NE-6857IOZI},01/02/2010 08:14:00,HSH3606,PC-7090,Logon
{U0O8-F2WE75UC-9120UWDT},01/02/2010 08:14:00,JDM1042,PC-1105,Logon
{O3V0-D8NL95TV-2884SAAX},01/02/2010 08:14:00,LBB0453,PC-5980,Logon
{X1L7-Z7AU23TZ-4023RRIN},01/02/2010 08:14:00,VPS3185,PC-3491,Logon
{R6G0-Q5WW21ZP-1905XNZA},01/02/2010 08:15:00,AEM0554,PC-0514,Logon
{E3I1-O5SW79BV-7701KQWG},01/02/2010 08:15:00,DCM3596,PC-0355,Logon
{D2K3-Q8BD31VR-0479MCPE},01/02/2010 08:15:00,TKM1539,PC-3295,Logon
{U4Z0-M9WZ92XK-2722EQUR},01/02/2010 08:15:00,ZAR0404,PC-7841,Logon
{X7V8-A1AO63IX-7789WSVU},01/02/2010 08:16:00,ATT1191,PC-2057,Logon
{B8B6-X0UT62RT-6558YKHG},01/02/2010 08:16:16,WBB2321,PC-4945,Logoff
{A7B0-P4QV74KH-9558SKQG},01/02/2010 08:17:00,OKH3777,PC-5467,Logon
{B6H6-F5HL81QQ-1189CKSA},01/02/2010 08:17:00,XTB2372,PC-9480,Logon
{Z5P8-D1SJ89QK-6495WMWF},01/02/2010 08:18:00,GDH2500,PC-9355,Logon
{K2V2-V1FE93VX-2691VIPB},01/02/2010 08:18:00,LTW1441,PC-2126,Logon
{E3E5-V9QY07NJ-4871JVWF},01/02/2010 08:18:00,YKM3542,PC-6463,Logon
{Z5N4-U2KX02IA-1437IBVF},01/02/2010 08:19:00,ELB0033,PC-4928,Logon
{X0H9-J6IV85FM-0719AEDI},01/02/2010 08:22:00,WMM0873,PC-3774,Logon
{R6Y9-H7CP98CL-1306FMWG},01/02/2010 08:24:00,CXM1821,PC-8083,Logon
{Y9P1-B5QS19AK-7479LGQC},01/02/2010 08:25:00,NBT3447,PC-0882,Logon
{O1I0-E3XM94AX-2407LVZG},01/02/2010 08:26:00,RCS2064,PC-3218,Logon
{W5G2-Q2LT16QH-2418NHCO},01/02/2010 08:27:00,BCM3794,PC-7608,Logon
{M6M5-I1WL81BI-3012JJHX},01/02/2010 08:27:00,GEG2093,PC-5774,Logon
{W8H4-A0WY95MZ-5667QCPO},01/02/2010 08:27:00,XBW2502,PC-7681,Logon
{G4J3-T7VU66MX-5898IIUP},01/02/2010 08:28:00,KAS2029,PC-6729,Logon
{D7L5-O1OS90FA-2701VQRM},01/02/2010 08:31:00,TRH1083,PC-2246,Logon
{H4L5-D1QD00XQ-5351MSFS},01/02/2010 08:31:00,URC2874,PC-9516,Logon
{Y6I4-E8FJ20UX-3403WILL},01/02/2010 08:32:00,CER0228,PC-5018,Logon
{S4I2-C6KP42MA-8854PPMG},01/02/2010 08:32:00,CLR2407,PC-2704,Logon
{K9B1-N9CM85YY-6736HBFT},01/02/2010 08:32:00,CPC0724,PC-8032,Logon
{A5N2-H7YH19FU-6069JSVK},01/02/2010 08:32:00,EDJ1970,PC-1301,Logon
{G0P2-I7HK57PK-7475ILYK},01/02/2010 08:32:00,JHK1849,PC-3114,Logon
{M9I5-B3QZ21VE-7366FHXV},01/02/2010 08:32:00,KOR1163,PC-5997,Logon
{D9F8-L0SR88YQ-4949NIKY},01/02/2010 08:33:00,JZE2902,PC-8858,Logon
{Z9N9-A2PR52TB-8665ZOOO},01/02/2010 08:34:00,BLN0230,PC-0151,Logon
{J0F4-L3YX16CH-9203WYIB},01/02/2010 08:35:00,CQS2883,PC-6220,Logon
{T1R4-K7HI30PU-2576WHNS},01/02/2010 08:37:00,AKS3496,PC-3470,Logon
{E3L7-Y0RU62ZZ-9348ZMHU},01/02/2010 08:37:00,KNM1154,PC-4927,Logon
{I0L8-B6FI38QO-3550WWVS},01/02/2010 08:41:00,LCC1963,PC-1027,Logon
{N4N3-X0EZ96PL-2333JWNS},01/02/2010 08:42:00,REC0283,PC-6764,Logon
{F9G8-I8EK27VB-5019XRFU},01/02/2010 08:44:00,HGH0727,PC-2482,Logon
{M3T7-D5NE02JV-4807WAGS},01/02/2010 08:45:00,TJD0106,PC-6916,Logon
{P4W3-P5SW18ZZ-7784OBAD},01/02/2010 08:47:31,FGC0114,PC-5400,Logon
{I4E7-U0ZE53YS-6889GCZM},01/02/2010 08:48:00,HMB0805,PC-0242,Logon
{G1T0-X5HR47JY-2407FQKW},01/02/2010 08:49:00,PNH1444,PC-6885,Logon
{V7A6-Y4CR76BG-5564HSLN},01/02/2010 08:49:00,RAA1455,PC-7117,Logon
{Q5Q5-H6MG36LG-7906MCOB},01/02/2010 08:52:08,CCT2165,PC-3136,Logoff
{V4Y1-T1KY16IQ-6156XXXD},01/02/2010 08:55:00,CGG3388,PC-5178,Logon
{R0S9-O7GF73IH-4318NINI},01/02/2010 08:55:00,MMS0241,PC-2800,Logon
{T0F7-I6VB60AQ-0814OVPL},01/02/2010 08:59:00,FHA3387,PC-7770,Logon
{S1F6-W0TL70OR-1032MAHY},01/02/2010 09:12:00,SRS0129,PC-7008,Logon
{V6N2-I3GS35ZG-1874YQLR},01/02/2010 09:17:00,BOR2387,PC-2983,Logon
{V6Z7-D5ET87WD-8549DBEA},01/02/2010 09:20:00,HSK0639,PC-3216,Logon
{O9Z5-P3OY28CV-4004UMAW},01/02/2010 09:22:00,UMB0055,PC-1021,Logon
{P6E6-H6ZK63FX-3954MEYL},01/02/2010 09:23:00,KCH2475,PC-4356,Logon
{I7B3-J9IS50PZ-8450BXEY},01/02/2010 09:29:23,SSS3091,PC-6770,Logon
{N9V5-J6MF30OY-2953OJBN},01/02/2010 09:41:00,CHC0252,PC-5395,Logon
{H5G5-V2US11RO-1757EUWV},01/02/2010 09:41:31,GDM3960,PC-3677,Logon
{M8Y5-T9SX65GL-5108WRJJ},01/02/2010 09:43:18,GRP0277,PC-1132,Logon
{L6F6-J4FR50FM-0792GVQW},01/02/2010 09:44:27,CHC0252,PC-5395,Logoff
{G1L8-F1WK51HF-6123QSBG},01/02/2010 09:52:56,WAF3438,PC-3297,Logon
{V8B5-D7YL59UN-1427ZNOU},01/02/2010 09:53:14,SSS3091,PC-6770,Logoff
{O1N9-G3OI35ZD-3608MGAV},01/02/2010 10:01:03,WAF3438,PC-3297,Logoff
{K4C8-Q0PY22OV-7909IPZU},01/02/2010 10:09:13,AMB3100,PC-4289,Logon
{G8I0-T1XZ22JT-5367KSMT},01/02/2010 10:21:01,GRP0277,PC-2590,Logon
{F3P8-E5EZ97GS-0485YKUX},01/02/2010 10:21:46,DPM2971,PC-6953,Logon
{E2X3-N8OM97GB-6719DNEQ},01/02/2010 10:25:35,CDB2017,PC-8758,Logon
{B7C4-A7NW57XD-6713GZEZ},01/02/2010 10:28:10,DPM2971,PC-6953,Logoff
{F1I9-Y8SM94PQ-0784JBFD},01/02/2010 10:30:23,HDB1666,PC-6793,Logon
{Q2Y6-H1LE71DS-7413PNRZ},01/02/2010 10:31:25,QAH1315,PC-3767,Logon
{B3G3-S4YC92IV-3713FUWF},01/02/2010 10:35:05,AMB3100,PC-4289,Logoff
{V7I5-B4PQ59ZK-6815BDQX},01/02/2010 10:36:42,GDM3960,PC-3677,Logoff
{N2Z5-V8SD92CI-3714KOLG},01/02/2010 10:37:54,LSN1672,PC-9021,Logon
{M4R0-W6UF09PG-6563ZEEO},01/02/2010 10:42:06,GRP0277,PC-1132,Logoff
{E4P1-I7WJ53IC-8487DYIC},01/02/2010 10:43:23,IMC3296,PC-3322,Logon
{X9R2-B4OS93SI-7777PERR},01/02/2010 10:43:23,JZE2902,PC-8858,Logon
{A7N1-G0OS84EE-1397ESKI},01/02/2010 10:48:45,IMC3296,PC-3322,Logoff
{G9T2-O6SA96YK-0239ZKFT},01/02/2010 10:50:58,RJH0219,PC-3959,Logon
{D1I5-M5FU94TS-6671BSCT},01/02/2010 10:53:28,KBP0384,PC-5760,Logon
{T5E4-G3LM37VL-5303OLMU},01/02/2010 10:54:43,BMC3636,PC-5581,Logon
{B5N4-Q7UP47YY-2660LSYF},01/02/2010 10:57:37,BAW0780,PC-1561,Logon
{A5E8-X0OK59SU-7785SIUS},01/02/2010 10:59:40,ZRM0694,PC-2539,Logon
{B0K2-U3AE03MR-8105GFVY},01/02/2010 11:02:44,ZRM0694,PC-2539,Logoff
{G6S0-A7VO55VW-0697DJCZ},01/02/2010 11:05:17,WBB2321,PC-3292,Logon
{J5V0-A1ND39ZT-5730SPNM},01/02/2010 11:07:01,HSH3606,PC-4504,Logon
{G4J3-V0PE17VD-4114MSJJ},01/02/2010 11:07:47,VCF3273,PC-5191,Logon
{V8N8-U3PO31DO-1125LHXW},01/02/2010 11:09:36,ABP2917,PC-7947,Logon
{M1B9-J6CU46NS-3783GDKD},01/02/2010 11:11:10,HSH3606,PC-4504,Logoff
{L7Y7-L6PT88OM-0803OPIM},01/02/2010 11:14:32,LCC1963,PC-1027,Logon
{M8J0-X5LX31PR-2365IPUD},01/02/2010 11:21:22,MBN3610,PC-8169,Logon
{R3I7-F3SC93AP-7758TBCM},01/02/2010 11:23:00,DAR0709,PC-4052,Logon
{S0W9-S8HS57HM-0311KNHD},01/02/2010 11:31:44,KBP0384,PC-5760,Logoff
{J0B9-Q7JL00WD-1385VEZV},01/02/2010 11:33:27,EMK3809,PC-4281,Logon
{M0D7-R9JM30PC-5996NABR},01/02/2010 11:35:23,AYD2775,PC-3839,Logon
{A9T9-L4OS37FF-5517SCHN},01/02/2010 11:35:51,SAB1954,PC-5091,Logon
{V6Z1-H3ME66AB-2733TFWE},01/02/2010 11:36:19,CPC0724,PC-8032,Logon
{F5Y5-J2EN07VT-2906NAGZ},01/02/2010 11:37:29,MMS0241,PC-2800,Logon
{R7U3-R3FT26BI-7044KNWE},01/02/2010 11:41:04,MJA2380,PC-2940,Logon
{R8V1-S5BC03WX-7317JFAQ},01/02/2010 11:43:02,CHC0252,PC-8009,Logon
{N3O0-M2XA63XF-6815LECI},01/02/2010 11:47:59,GDM3960,PC-7415,Logon
{J0R4-S9FZ84TF-6170BDPX},01/02/2010 11:48:46,IWG0058,PC-4074,Logon
{O8J7-V8JT01NV-7649REHW},01/02/2010 11:53:24,JEV3132,PC-7700,Logon
{Y2N1-Q5LE11HR-7278SOSP},01/02/2010 11:54:08,ENS1748,PC-5920,Logon
{U3K2-N2GT67EK-0344IGBW},01/02/2010 11:55:31,AMA2808,PC-3872,Logon
{W0R6-S1FG39ZQ-5143ZHTW},01/02/2010 11:56:42,URC2874,PC-6160,Logon
{C9Y9-K3HN82LW-5570QFPC},01/02/2010 11:57:30,DJA0740,PC-7197,Logon
{U4S5-V9BQ44OS-2924KSGV},01/02/2010 12:00:24,GNT0221,PC-6427,Logon
{C6J4-R2UP57MX-1665QIJG},01/02/2010 12:02:21,AMB3100,PC-9472,Logon
{F0D8-Y9NK37IO-2060RPPE},01/02/2010 12:03:10,JWM0484,PC-3083,Logon
{Y7Q7-Z8CY19QY-6355XWBA},01/02/2010 12:04:15,FHA3387,PC-7770,Logon
{K0D3-K0AU74FC-3167MOED},01/02/2010 12:04:34,GNE1365,PC-5750,Logon
{O9K7-S8XX81AC-6356ASEO},01/02/2010 12:05:02,LXE2139,PC-8276,Logon
{Y5G0-L4NL97EP-5326RMPZ},01/02/2010 12:07:09,JEW2141,PC-8081,Logon
{M8H2-T7CB35AH-3017SQPD},01/02/2010 12:10:13,KBP0384,PC-9322,Logon
{W9Z1-D2WE01TO-7363IEMK},01/02/2010 12:12:19,RCT1697,PC-5770,Logon
{H3E9-I5GT95VY-6211DOOL},01/02/2010 12:13:00,AFP2709,PC-3154,Logon
{R5K8-Q8PE15ZX-0306QESD},01/02/2010 12:14:06,MBA1797,PC-0470,Logon
{R1U1-P1IU44KJ-4646NTUS},01/02/2010 12:15:39,TPS1568,PC-3022,Logon
