user,avg_login_hour,login_variance,avg_logout_hour,logout_variance,avg_session_hours,max_session_hours,min_session_hours,session_variance,total_logins,working_days,avg_logins_per_day,unique_pcs,primary_pc,primary_pc_percentage,device_switches,night_login_count,offhour_percentage,weekend_logins,weekday_logins,first_login,last_login,anomaly_score,anomaly
DTAA/LKY0181,12.794301994301998,3.326577321832182,15.302136752136752,4.004772977564057,4.149169040835707,9.440555555555555,0.2788888888888889,2.0244270551643004,117,103,1.135922330097087,1,PC-2856,100.0,0,1,11.11111111111111,0,117,2010-01-04 13:19:31,2010-05-28 03:09:15,-0.08696711719104133,Normal
DTAA/FKR0550,11.050143369175627,3.857312397944932,14.311648745519712,4.236792347122751,4.242173835125448,9.301388888888887,0.0047222222222222,2.5217156696049865,465,354,1.3135593220338984,53,PC-2469,86.23655913978494,122,26,27.09677419354839,9,456,2010-01-04 11:01:45,2011-05-13 16:01:52,-0.08398461099100862,Normal
DTAA/DDK0417,12.374519549370444,3.5083912036695404,16.41464546056991,4.238346755986938,4.708429423459245,10.258055555555556,0.005,3.075768357386702,503,349,1.4412607449856734,70,PC-0980,77.13717693836978,226,23,8.548707753479125,4,499,2010-01-04 12:28:30,2011-05-14 06:12:50,-0.08357187106307684,Normal
DTAA/BIR0534,11.687851997380484,3.458455835785438,14.753700065487884,4.019969829867732,4.009410609037327,10.563055555555556,0.0211111111111111,2.6606831519354546,509,351,1.4501424501424502,63,PC-1834,77.79960707269156,220,25,22.98624754420432,5,504,2010-01-04 12:34:34,2011-05-14 05:01:17,-0.08236500724238804,Normal
DTAA/HTS0265,9.370568927789936,3.860103570909136,15.518745441283734,4.554481082988645,7.303357038657914,10.613611111111112,0.0438888888888888,3.226131986863808,457,348,1.3132183908045978,40,PC-1744,89.71553610503283,94,34,14.22319474835886,3,454,2010-01-04 08:32:35,2011-05-13 17:28:00,-0.07797428807178186,Normal
DTAA/CHA0174,12.277531857813546,3.382772212054009,15.55784708249497,3.980713741571944,3.85979767493852,9.444722222222222,0.0161111111111111,2.637244741310343,497,350,1.42,72,PC-2751,78.26961770623743,209,22,8.853118712273641,4,493,2010-01-04 12:27:38,2011-05-13 17:32:14,-0.0764437918647336,Normal
DTAA/SRN0275,11.617056074766356,3.3680067982950086,18.07834890965732,4.622150064651465,6.853757139148494,12.274722222222222,0.0619444444444444,3.401309315359294,428,353,1.2124645892351276,41,PC-3531,88.3177570093458,97,23,16.355140186915886,7,421,2010-01-04 11:58:58,2011-05-14 06:18:12,-0.07474018853770703,Normal
DTAA/SJC0487,8.610823970037453,2.436439935599584,17.279700374531835,2.6399380547742792,8.66905243445693,11.305833333333334,0.0138888888888888,4.408366875131078,445,345,1.289855072463768,70,PC-0996,77.52808988764045,198,0,78.65168539325843,0,445,2010-01-04 07:36:48,2011-05-13 18:29:53,-0.07470665356851369,Normal
DTAA/DFZ0063,12.215683865683864,3.869764466791112,14.411998361998362,3.742124376245123,3.375438847938848,12.862222222222222,0.0816666666666666,2.3044335349182297,407,352,1.15625,8,PC-4442,98.28009828009829,14,25,12.776412776412776,7,400,2010-01-04 12:24:55,2011-05-14 02:26:46,-0.07272250217814558,Normal
DTAA/QKR0651,9.41433734939759,2.4615745158070217,19.50602409638554,2.668454737574133,10.091125167336012,12.324444444444444,0.0125,4.336953746048047,415,345,1.2028985507246377,48,PC-4881,83.13253012048193,139,0,3.132530120481928,0,415,2010-01-04 08:23:21,2011-05-13 20:38:26,-0.07127473495387404,Normal
DTAA/LBB0095,12.58611683848797,2.5126328517436134,17.994054982817865,2.908784241522416,5.407492554410081,11.2975,0.0225,3.643816540184816,485,345,1.4057971014492754,99,PC-2780,71.1340206185567,259,0,2.268041237113402,0,485,2010-01-04 13:22:31,2011-05-13 19:28:34,-0.07110477530149506,Normal
DTAA/MIC0914,12.446957403651115,3.204247968208474,16.650135226504393,3.8588471336901673,4.592361392832997,10.281666666666666,0.0055555555555555,2.9950858336600974,493,348,1.4166666666666667,74,PC-3326,76.26774847870182,231,18,6.288032454361055,3,490,2010-01-04 13:39:16,2011-05-13 18:25:40,-0.0699372313271529,Normal
DTAA/BBM0499,8.851367890568753,2.298587003645811,16.47649388048956,2.5704133967526266,7.624652027837773,10.323611111111113,0.0066666666666666,4.144233945160775,463,345,1.3420289855072465,63,PC-4683,74.51403887688986,236,0,75.16198704103671,0,463,2010-01-04 07:45:33,2011-05-13 17:40:32,-0.06821027449569173,Normal
DTAA/HNF0812,11.88888888888889,2.020332781570057,15.448456790123457,1.907821983262188,3.558855452674897,8.268611111111111,0.0338888888888888,2.337751666781685,108,88,1.2272727272727273,21,PC-4760,81.48148148148148,39,0,0.0,0,108,2010-01-04 10:56:41,2010-05-06 16:13:02,-0.06816674462069006,Normal
DTAA/KAD0059,11.37629716981132,3.872412532641659,15.198820754716982,4.452525740789375,4.727986111111111,11.568055555555556,0.0080555555555555,2.4521628245145446,424,353,1.2011331444759208,14,PC-4031,96.69811320754717,28,36,32.78301886792453,8,416,2010-01-04 12:28:02,2011-05-13 16:42:37,-0.0679888754100606,Normal
DTAA/CTH0856,8.474543946932007,3.566656975053544,14.793656716417908,4.057131207957394,7.333616639027087,11.982222222222225,0.0463888888888888,2.1023389105800074,402,352,1.1420454545454546,1,PC-4677,100.0,0,28,61.19402985074627,7,395,2010-01-04 07:54:06,2011-05-13 15:58:52,-0.06672340171152358,Normal
DTAA/WTA0867,8.025396825396827,2.8432533323677904,15.021252204585537,3.122262713480704,7.630185920047031,10.847777777777775,0.0577777777777777,1.6180329591831508,378,352,1.0738636363636365,1,PC-1522,100.0,0,18,100.0,7,371,2010-01-04 07:51:26,2011-05-13 15:53:50,-0.0665249935038601,Normal
DTAA/JRM0902,7.992361111111111,0.105750043303136,16.05763888888889,0.0804545009995021,8.064293981481482,8.2575,7.819444444444445,0.1424148326625772,24,24,1.0,1,PC-0517,100.0,0,0,50.0,0,24,2010-01-04 07:53:09,2010-02-04 15:59:49,-0.06649440407661833,Normal
DTAA/NHL0253,12.12514367816092,2.9192380895070014,14.35305316091954,2.932288763395623,2.640903376436781,10.92388888888889,0.0,2.13003495034044,464,352,1.318181818181818,60,PC-3339,81.89655172413794,163,17,6.896551724137931,7,457,2010-01-04 13:34:24,2011-05-13 15:39:51,-0.06536735141640648,Normal
DTAA/PUH0847,7.806607744107744,3.7847397667481135,13.852819865319866,3.7884989238139415,7.439553872053873,10.798333333333334,0.1405555555555555,1.8741039868025584,396,346,1.1445086705202312,1,PC-2550,100.0,0,22,98.48484848484848,1,395,2010-01-04 07:09:30,2011-05-13 14:55:46,-0.06494731229801332,Normal
DTAA/NDH0807,12.11103752759382,2.071212641244003,16.010706401766004,2.467198399422774,3.8984565857247975,9.293888888888889,0.1105555555555555,2.631421967809522,151,112,1.3482142857142858,33,PC-3527,74.17218543046357,77,0,0.0,0,151,2010-01-04 08:21:36,2010-06-10 17:19:48,-0.06441029892361916,Normal
DTAA/CTF0687,8.62419627749577,2.8281834132724946,17.24505076142132,4.499355045694436,9.107304709531869,10.304444444444444,0.0286111111111111,2.621757677655751,394,353,1.1161473087818696,1,PC-2959,100.0,0,32,12.436548223350254,8,386,2010-01-04 08:39:35,2011-05-13 18:53:35,-0.064259583895388,Normal
DTAA/PCM0846,11.86048387096774,3.793501871616432,17.139400921658986,4.9713598834862,5.997450716845878,11.309166666666666,0.0422222222222222,2.9558034327103058,434,351,1.2364672364672364,24,PC-1898,94.23963133640552,49,36,14.97695852534562,5,429,2010-01-04 09:25:16,2011-05-13 19:19:15,-0.0639788948113934,Normal
DTAA/GKC0919,7.57108108108108,2.4476454225348734,18.522522522522525,3.3661660262073254,11.341116366366364,12.312222222222225,0.0047222222222222,2.667557147569465,370,346,1.069364161849711,9,PC-3647,97.83783783783784,16,9,97.83783783783784,1,369,2010-01-04 07:20:07,2011-05-13 19:16:02,-0.06391517464408392,Normal
DTAA/AFG0122,8.653566229985444,1.9590394432213611,15.590720524017463,2.378806791346801,6.937555191654536,9.321944444444444,0.0022222222222222,3.702812353203154,458,345,1.327536231884058,74,PC-4492,75.32751091703057,226,0,75.54585152838428,0,458,2010-01-04 07:45:01,2011-05-13 16:40:20,-0.06369066524658817,Normal
DTAA/DLM0723,8.755639913232104,2.103026231400604,15.631995661605204,2.308263880916237,6.876274403470716,9.325833333333334,0.0013888888888888,3.736536530690488,461,345,1.336231884057971,68,PC-0290,74.83731019522777,232,0,75.92190889370933,0,461,2010-01-04 07:54:02,2011-05-13 16:53:12,-0.06107756561208788,Normal
DTAA/MND0048,10.884803921568627,1.95088846049794,15.019607843137257,0.0677277412881024,4.135457516339869,8.179166666666667,2.214722222222222,1.9310431921534972,34,34,1.0,1,PC-4163,100.0,0,0,17.647058823529413,0,34,2010-01-04 12:51:42,2010-02-18 15:02:55,-0.060666524531746036,Normal
DTAA/ASO0023,11.44873188405797,3.604253950060481,14.116630434782609,3.848769322162964,3.816314009661836,12.59722222222222,0.0227777777777777,2.457862850605203,460,347,1.3256484149855907,45,PC-3990,86.52173913043478,122,23,27.608695652173918,2,458,2010-01-04 12:08:19,2011-05-13 15:48:03,-0.06060729576834922,Normal
DTAA/RBY0065,8.0148369132856,2.808647142401737,16.102028639618137,3.291480148589051,8.488444709626094,10.306944444444444,0.0344444444444444,3.454793613374122,419,349,1.2005730659025788,44,PC-2214,87.58949880668257,104,12,88.54415274463007,4,415,2010-01-04 07:08:03,2011-05-14 04:35:48,-0.05982425040618122,Normal
DTAA/DWF0128,12.91186274509804,2.0965677770830604,17.069117647058825,2.1249424030286184,4.157040849673202,9.292777777777776,0.0380555555555555,2.6651631169813537,170,131,1.297709923664122,35,PC-0346,77.05882352941177,77,0,0.0,0,170,2010-01-04 15:06:03,2010-07-08 18:04:50,-0.059608267442838536,Normal
DTAA/KIN0073,8.70302037845706,2.036320753612875,15.627074235807862,2.3227499649719623,6.923915574963611,9.300555555555556,0.0063888888888888,3.708850601615131,458,345,1.327536231884058,69,PC-3757,75.32751091703057,225,0,76.63755458515283,0,458,2010-01-04 07:37:24,2011-05-13 16:45:42,-0.059507978589612875,Normal
DTAA/JMM0759,12.60738592420727,3.70734120142604,15.103209590100542,4.3183594161055545,3.776855503995875,11.22222222222222,0.0352777777777777,2.1723555208103686,431,354,1.2175141242937852,22,PC-3490,94.89559164733178,44,23,14.849187935034802,8,423,2010-01-04 12:19:47,2011-05-14 00:56:38,-0.058830540777037976,Normal
DTAA/DAO0613,7.604889975550122,2.059779068125522,15.68797881010595,2.444903248814572,8.083681744091278,10.3225,0.0033333333333333,3.8618278989755535,409,325,1.2584615384615383,59,PC-4598,79.46210268948656,168,0,82.64058679706602,0,409,2010-01-04 06:49:04,2011-04-14 16:41:06,-0.05871825152983223,Normal
DTAA/WCN0570,7.507322551662174,1.9082162687735291,17.832165318957774,3.0356023314884517,10.389788110212638,11.3075,0.0338888888888888,2.435952794425225,371,349,1.0630372492836675,8,PC-3651,98.1132075471698,14,16,98.1132075471698,4,367,2010-01-04 07:21:55,2011-05-13 18:32:06,-0.0585303277018594,Normal
DTAA/HNS0858,11.80716440422323,4.026684136910026,15.117760180995472,4.562146323127279,4.559148441427853,9.484444444444444,0.0208333333333333,2.377278202310702,442,350,1.262857142857143,31,PC-3790,93.21266968325791,60,35,21.04072398190045,5,437,2010-01-04 13:57:47,2011-05-13 17:02:16,-0.057171319652141506,Normal
DTAA/RAH0968,9.304944178628388,3.2859687669874837,16.388237639553427,3.920102223538608,7.771976342371079,10.022222222222222,0.0769444444444444,2.9673755827573287,418,354,1.1807909604519775,31,PC-3119,92.58373205741628,62,22,10.047846889952153,9,409,2010-01-04 08:54:49,2011-05-13 17:45:28,-0.05640954582345015,Normal
DTAA/DIS0382,11.846227867590454,4.137453907021785,14.676250962278676,4.334265822228297,3.9383339748524495,9.945833333333333,0.04,2.2738627395771345,433,351,1.2336182336182335,15,PC-2501,96.53579676674366,30,32,23.556581986143183,6,427,2010-01-04 12:07:18,2011-05-14 05:16:52,-0.05475324654718028,Normal
DTAA/CIB0489,8.991666666666665,0.1022886257751221,19.0625,0.0416666666666671,10.069375,10.143611111111111,9.886388888888888,0.1227650770622112,4,4,1.0,1,PC-4452,100.0,0,0,0.0,0,4,2010-01-04 08:55:46,2010-01-07 19:03:20,-0.053537172500677355,Normal
DTAA/UGW0223,7.4875,0.0866491484978387,16.528409090909093,0.0775579757688134,9.0416351010101,9.305555555555555,8.832777777777778,0.1094598589583776,44,44,1.0,1,PC-3346,100.0,0,0,100.0,0,44,2010-01-04 07:34:43,2010-03-04 16:37:56,-0.05347989154965116,Normal
DTAA/CGM0343,11.676570048309175,2.390035029258675,16.932367149758452,3.0410186009631115,5.25610248447205,11.29527777777778,0.0077777777777777,3.4757087795503367,483,345,1.4,89,PC-3039,71.42857142857143,266,0,14.699792960662524,0,483,2010-01-04 12:54:51,2011-05-13 18:33:33,-0.051916575655802544,Normal
DTAA/AQG0678,11.760109289617484,1.986144103368046,15.669672131147538,1.3150956844619217,3.90971766848816,8.185,0.1227777777777777,2.1918268506778125,122,112,1.0892857142857142,11,PC-1127,91.8032786885246,20,0,10.655737704918032,0,122,2010-01-04 13:07:20,2010-06-10 16:06:53,-0.051065896748375916,Normal
DTAA/EMR0242,8.75255795363709,3.4825755004533923,15.800599520383694,4.420586104130034,7.911604050093258,9.313888888888888,0.0133333333333333,2.6672126309654494,417,351,1.188034188034188,13,PC-1306,97.12230215827336,24,32,14.388489208633093,5,412,2010-01-04 08:39:44,2011-05-13 17:37:55,-0.05029978423593218,Normal
DTAA/SMC0139,9.055311355311355,2.261017620428444,16.785347985347986,2.5580746533745105,7.7302857142857135,10.296388888888888,0.0116666666666666,4.097504885730474,455,345,1.318840579710145,74,PC-0577,75.82417582417582,219,0,37.582417582417584,0,455,2010-01-04 08:01:54,2011-05-13 17:58:50,-0.05014862052814406,Normal
DTAA/SJH0588,12.136004784688996,3.854044790197413,17.665271132376393,5.105209383493088,6.276258639021797,11.286666666666669,0.0180555555555555,2.8064439552224454,418,350,1.1942857142857144,20,PC-2512,94.97607655502392,42,32,12.91866028708134,4,414,2010-01-04 08:45:31,2011-05-13 19:54:33,-0.05003630942678372,Normal
DTAA/MCH0530,10.736099585062242,3.0118596644347235,14.459405255878284,3.18470502553855,4.221081143384048,9.317777777777778,0.0122222222222222,2.8136113702819454,482,346,1.393063583815029,79,PC-4577,76.34854771784232,222,6,25.72614107883817,0,482,2010-01-04 06:49:10,2011-05-13 15:48:16,-0.04834471915453187,Normal
DTAA/IKH0904,12.393236714975846,3.7424902878297273,15.614906832298136,4.386332823431563,4.315364044168392,10.131944444444445,0.0155555555555555,2.706141991547535,483,350,1.38,56,PC-3664,83.22981366459628,161,26,11.801242236024844,3,480,2010-01-04 12:32:54,2011-05-13 17:45:14,-0.047939940529470815,Normal
DTAA/CTH0082,8.915713101160863,3.303662384546354,17.931177446102822,4.903568240200838,9.850940436705365,11.303055555555556,0.0680555555555555,3.086624719713571,402,347,1.15850144092219,9,PC-4582,98.0099502487562,16,28,12.18905472636816,2,400,2010-01-04 08:43:11,2011-05-13 19:47:25,-0.04787895327364633,Normal
DTAA/EOS0972,11.908194444444444,3.724043389757028,14.829270833333334,4.333000394123897,4.121343171296297,11.272222222222222,0.0036111111111111,2.586170582972785,480,348,1.3793103448275863,56,PC-4981,83.75,152,22,25.416666666666664,3,477,2010-01-04 07:53:54,2011-05-13 16:46:18,-0.04780905921450984,Normal
DTAA/JHN0241,10.963194444444444,2.1086776035965817,17.278472222222224,0.0681854473732804,6.315729166666666,10.188888888888888,3.883333333333333,2.0940361052830005,24,24,1.0,1,PC-2064,100.0,0,0,20.833333333333336,0,24,2010-01-04 11:24:10,2010-02-04 17:13:25,-0.04534892987574235,Normal
DTAA/AKS0283,12.479148471615725,3.5500690970059985,16.923034934497817,4.226725729182391,4.914726467734109,10.2925,0.0113888888888888,2.7750919203561044,458,352,1.3011363636363635,45,PC-3049,85.1528384279476,133,24,9.82532751091703,7,451,2010-01-04 14:25:31,2011-05-13 18:41:55,-0.044987355161582365,Normal
DTAA/YJJ0129,8.106225831399845,2.097013820372928,16.248453209590103,2.386223147437992,8.141330239752513,10.321111111111112,0.0025,3.8195989778882975,431,345,1.2492753623188406,59,PC-0075,80.04640371229699,172,0,82.13457076566125,0,431,2010-01-04 07:07:16,2011-05-13 17:10:29,-0.04497388154809456,Normal
DTAA/RTH0376,8.249242424242425,0.0914959329982851,18.266287878787875,0.0677707638942239,10.017948232323231,10.298333333333334,9.823611111111113,0.1090836208953921,44,44,1.0,1,PC-0763,100.0,0,0,0.0,0,44,2010-01-04 08:06:21,2010-03-04 18:10:43,-0.04492368266192581,Normal
DTAA/AJP0553,9.462871674491392,3.4459231299815998,17.224647887323943,4.119667344100945,8.493718049034952,10.313888888888888,0.0013888888888888,3.3701996540587675,426,348,1.2241379310344829,39,PC-1270,90.84507042253522,78,23,10.7981220657277,3,423,2010-01-04 08:54:23,2011-05-13 22:48:47,-0.043480496102053956,Normal
DTAA/CSR0189,7.542602262837249,3.239065435820696,15.187293298520451,3.439599470306956,8.396636930664346,10.286111111111111,0.0202777777777777,2.1354845178147133,383,346,1.106936416184971,5,PC-3494,98.9556135770235,8,16,98.69451697127938,1,382,2010-01-04 07:08:16,2011-05-13 16:06:45,-0.04325465805766038,Normal
DTAA/BGW0009,8.994915254237286,0.1056477120172702,17.02994350282486,0.0660009622750693,8.035494350282486,8.26,7.826944444444444,0.1020905243876436,59,59,1.0,1,PC-0292,100.0,0,0,0.0,0,59,2010-01-04 09:06:35,2010-03-25 17:08:10,-0.042892386489157275,Normal
DTAA/AJA0220,11.378341194968552,3.8377715219553976,14.8437106918239,4.369620270970694,4.823413915094339,11.366666666666667,0.0816666666666666,2.34240867010661,424,353,1.2011331444759208,18,PC-3872,95.75471698113208,36,29,29.009433962264158,6,418,2010-01-04 11:45:54,2011-05-13 16:32:25,-0.0426801977036001,Normal
DTAA/KJG0378,8.63123188405797,1.8373894997143216,14.782246376811596,2.0055198041880504,6.151038647342996,8.318888888888889,0.0011111111111111,3.288880145470248,460,345,1.3333333333333333,66,PC-4895,75.0,229,0,75.43478260869566,0,460,2010-01-04 07:52:10,2011-05-13 15:50:21,-0.04260206743956785,Normal
DTAA/ARC0677,12.942686682063124,2.447286677296752,19.77609699769053,2.8873257850698697,6.833599563767,12.298055555555557,0.0105555555555555,3.671930544634604,433,345,1.255072463768116,61,PC-0465,79.67667436489607,173,0,2.771362586605081,0,433,2010-01-04 14:42:53,2011-05-13 21:07:08,-0.04229537784688697,Normal
DTAA/IAG0152,7.961974977658624,2.1919593891151146,18.020151921358355,3.817734321194736,10.380038725052133,11.318333333333332,0.1175,2.403028932493592,373,350,1.0657142857142856,1,PC-3521,100.0,0,20,58.71313672922251,5,368,2010-01-04 07:58:03,2011-05-13 19:02:23,-0.040620294715482896,Normal
