id,date,user,employee_id,pc,filename,activity,sensitive_flag,off_hours_flag
F000018,2026-01-05 04:54:46,vikram.menon2,EMP0002,PC-FIN-002,budget.xlsx,Copy,0,0
F000019,2026-01-07 14:31:59,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Write,0,0
F000020,2026-01-21 15:49:51,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Copy,0,0
F000021,2026-01-07 17:11:46,vikram.menon2,EMP0002,PC-FIN-002,presentation.pptx,Write,0,0
F000022,2026-01-05 06:16:07,vikram.menon2,EMP0002,PC-FIN-002,report.docx,Open,0,0
F000023,2026-01-29 15:38:40,vikram.menon2,EMP0002,PC-FIN-002,timesheet.xlsx,Open,0,0
F000024,2026-01-12 10:44:28,vikram.menon2,EMP0002,PC-FIN-002,presentation.pptx,Copy,0,0
F000025,2026-02-10 13:12:12,vikram.menon2,EMP0002,PC-FIN-002,meeting_notes.pdf,Write,0,0
F000026,2026-01-29 14:14:12,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Copy,0,0
F000027,2026-01-28 15:51:50,vikram.menon2,EMP0002,PC-FIN-002,budget.xlsx,Open,0,0
F000028,2026-02-07 02:42:06,vikram.menon2,EMP0002,PC-FIN-002,budget.xlsx,Open,0,0
F000029,2026-01-09 17:23:49,vikram.menon2,EMP0002,PC-FIN-002,presentation.pptx,Open,0,0
F000030,2026-01-22 08:46:58,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Write,0,0
F000031,2026-01-13 16:36:52,vikram.menon2,EMP0002,PC-FIN-002,presentation.pptx,Rename,0,0
F000032,2026-01-23 13:35:54,vikram.menon2,EMP0002,PC-FIN-002,budget.xlsx,Open,0,0
F000033,2026-01-28 13:55:04,yusuf.naidu3,EMP0003,PC-ENG-003,source_code.py,Open,0,0
F000034,2026-01-09 15:19:06,yusuf.naidu3,EMP0003,PC-ENG-003,report.docx,Write,0,0
F000035,2026-01-15 05:34:21,yusuf.naidu3,EMP0003,PC-ENG-003,report.docx,Copy,0,0
F000036,2026-01-19 17:16:24,yusuf.naidu3,EMP0003,PC-ENG-003,design_spec.docx,Rename,0,0
F000037,2026-01-05 16:10:18,yusuf.naidu3,EMP0003,PC-ENG-003,report.docx,Copy,0,0
F000038,2026-02-03 18:32:19,yusuf.naidu3,EMP0003,PC-ENG-003,presentation.pptx,Open,0,0
F000039,2026-02-04 14:07:37,yusuf.naidu3,EMP0003,PC-ENG-003,presentation.pptx,Rename,0,0
F000040,2026-02-11 03:21:26,yusuf.naidu3,EMP0003,PC-ENG-003,meeting_notes.pdf,Copy,0,0
F000041,2026-01-22 17:03:08,yusuf.naidu3,EMP0003,PC-ENG-003,budget.xlsx,Rename,0,0
F000042,2026-02-12 17:03:15,yusuf.naidu3,EMP0003,PC-ENG-003,presentation.pptx,Open,0,0
F000043,2026-02-06 17:44:53,yusuf.naidu3,EMP0003,PC-ENG-003,timesheet.xlsx,Open,0,0
F000044,2026-01-23 21:26:38,yusuf.naidu3,EMP0003,PC-ENG-003,design_spec.docx,Open,0,0
F000045,2026-02-05 11:08:17,yusuf.naidu3,EMP0003,PC-ENG-003,design_spec.docx,Open,0,0
F000046,2026-01-07 03:32:14,yusuf.naidu3,EMP0003,PC-ENG-003,design_spec.docx,Rename,0,0
F000047,2026-01-28 11:50:54,yusuf.naidu3,EMP0003,PC-ENG-003,budget.xlsx,Open,0,0
F000048,2026-01-04 02:50:51,yusuf.naidu3,EMP0003,PC-ENG-003,budget.xlsx,Write,0,0
F000049,2026-02-13 14:01:35,yusuf.naidu3,EMP0003,PC-ENG-003,presentation.pptx,Open,0,0
F000050,2026-01-25 15:44:08,yusuf.naidu3,EMP0003,PC-ENG-003,presentation.pptx,Write,0,0
F000051,2026-02-05 08:28:07,yusuf.naidu3,EMP0003,PC-ENG-003,source_code.py,Rename,0,0
F000052,2026-01-23 08:27:58,yusuf.naidu3,EMP0003,PC-ENG-003,report.docx,Copy,0,0
F000053,2026-01-15 07:00:14,yusuf.naidu3,EMP0003,PC-ENG-003,presentation.pptx,Open,0,0
F000054,2026-01-01 16:15:52,yusuf.naidu3,EMP0003,PC-ENG-003,report.docx,Open,0,0
F000055,2026-01-04 07:11:18,yusuf.naidu3,EMP0003,PC-ENG-003,report.docx,Rename,0,0
F000056,2026-01-23 13:56:15,yusuf.naidu3,EMP0003,PC-ENG-003,meeting_notes.pdf,Copy,0,0
F000057,2026-01-31 14:42:04,rohan.sharma4,EMP0004,PC-ENG-004,report.docx,Rename,0,0
F000058,2026-02-04 08:45:47,rohan.sharma4,EMP0004,PC-ENG-004,timesheet.xlsx,Rename,0,0
F000059,2026-01-15 11:19:23,rohan.sharma4,EMP0004,PC-ENG-004,timesheet.xlsx,Rename,0,0
F000060,2026-02-11 09:57:17,rohan.sharma4,EMP0004,PC-ENG-004,meeting_notes.pdf,Open,0,0
F000061,2026-01-04 10:26:45,rohan.sharma4,EMP0004,PC-ENG-004,source_code.py,Write,0,0
F000062,2026-01-18 07:58:08,rohan.sharma4,EMP0004,PC-ENG-004,timesheet.xlsx,Copy,0,0
F000063,2026-01-20 15:13:07,rohan.sharma4,EMP0004,PC-ENG-004,meeting_notes.pdf,Copy,0,0
F000064,2026-01-03 21:44:28,rohan.sharma4,EMP0004,PC-ENG-004,design_spec.docx,Write,0,0
F000065,2026-01-08 02:53:02,rohan.sharma4,EMP0004,PC-ENG-004,meeting_notes.pdf,Rename,0,0
F000066,2026-02-07 10:52:05,rohan.sharma4,EMP0004,PC-ENG-004,report.docx,Rename,0,0
F000067,2026-02-09 10:01:55,rohan.sharma4,EMP0004,PC-ENG-004,presentation.pptx,Write,0,0
F000068,2026-01-29 04:13:24,rohan.sharma4,EMP0004,PC-ENG-004,budget.xlsx,Write,0,0
F000069,2026-02-04 05:19:02,rohan.sharma4,EMP0004,PC-ENG-004,source_code.py,Rename,0,0
F000070,2026-01-02 17:48:57,rohan.sharma4,EMP0004,PC-ENG-004,meeting_notes.pdf,Rename,0,0
F000071,2026-02-07 08:01:21,rohan.sharma4,EMP0004,PC-ENG-004,design_spec.docx,Write,0,0
F000072,2026-01-28 15:59:47,rohan.sharma4,EMP0004,PC-ENG-004,timesheet.xlsx,Open,0,0
F000073,2026-01-07 12:46:59,rohan.sharma4,EMP0004,PC-ENG-004,design_spec.docx,Rename,0,0
F000074,2026-02-04 11:36:46,rohan.sharma4,EMP0004,PC-ENG-004,source_code.py,Rename,0,0
F000075,2026-01-11 19:29:47,rohan.sharma4,EMP0004,PC-ENG-004,budget.xlsx,Copy,0,0
F000076,2026-01-01 09:43:17,rohan.sharma4,EMP0004,PC-ENG-004,report.docx,Copy,0,0
F000077,2026-02-04 09:36:25,rohan.sharma4,EMP0004,PC-ENG-004,report.docx,Rename,0,0
F000078,2026-01-24 09:16:50,rohan.sharma4,EMP0004,PC-ENG-004,design_spec.docx,Open,0,0
F000079,2026-01-20 13:20:53,ritu.bhatt5,EMP0005,PC-ENG-005,meeting_notes.pdf,Copy,0,0
F000080,2026-01-29 11:28:00,ritu.bhatt5,EMP0005,PC-ENG-005,presentation.pptx,Open,0,0
F000081,2026-01-23 11:54:35,ritu.bhatt5,EMP0005,PC-ENG-005,budget.xlsx,Write,0,0
F000082,2026-01-04 13:05:17,ritu.bhatt5,EMP0005,PC-ENG-005,source_code.py,Rename,0,0
F000083,2026-01-05 11:16:49,ritu.bhatt5,EMP0005,PC-ENG-005,timesheet.xlsx,Rename,0,0
F000084,2026-01-17 16:08:14,ritu.bhatt5,EMP0005,PC-ENG-005,design_spec.docx,Copy,0,0
F000085,2026-01-10 16:41:03,ritu.bhatt5,EMP0005,PC-ENG-005,budget.xlsx,Open,0,0
F000086,2026-02-11 04:43:32,ritu.bhatt5,EMP0005,PC-ENG-005,timesheet.xlsx,Write,0,0
F000087,2026-02-07 09:35:45,ritu.bhatt5,EMP0005,PC-ENG-005,budget.xlsx,Open,0,0
F000088,2026-01-17 21:01:43,ritu.bhatt5,EMP0005,PC-ENG-005,timesheet.xlsx,Rename,0,0
F000089,2026-02-04 14:38:15,ritu.bhatt5,EMP0005,PC-ENG-005,meeting_notes.pdf,Open,0,0
F000090,2026-01-05 12:07:32,ritu.bhatt5,EMP0005,PC-ENG-005,report.docx,Copy,0,0
F000091,2026-01-14 10:23:53,ritu.bhatt5,EMP0005,PC-ENG-005,timesheet.xlsx,Write,0,0
F000092,2026-02-11 11:18:09,lakshmi.naidu6,EMP0006,PC-SAL-006,report.docx,Rename,0,0
F000093,2026-02-08 15:21:26,lakshmi.naidu6,EMP0006,PC-SAL-006,design_spec.docx,Rename,0,0
F000094,2026-01-31 18:18:39,lakshmi.naidu6,EMP0006,PC-SAL-006,report.docx,Copy,0,0
F000095,2026-01-24 04:59:09,lakshmi.naidu6,EMP0006,PC-SAL-006,source_code.py,Open,0,0
F000096,2026-01-07 13:51:20,lakshmi.naidu6,EMP0006,PC-SAL-006,source_code.py,Rename,0,0
F000097,2026-01-14 10:37:02,lakshmi.naidu6,EMP0006,PC-SAL-006,design_spec.docx,Copy,0,0
F000098,2026-01-25 15:41:05,lakshmi.naidu6,EMP0006,PC-SAL-006,report.docx,Copy,0,0
F000099,2026-02-06 12:36:40,lakshmi.naidu6,EMP0006,PC-SAL-006,source_code.py,Write,0,0
F000100,2026-02-04 14:54:56,lakshmi.naidu6,EMP0006,PC-SAL-006,source_code.py,Open,0,0
F000101,2026-02-08 11:33:33,lakshmi.naidu6,EMP0006,PC-SAL-006,presentation.pptx,Rename,0,0
F000102,2026-01-18 08:36:18,lakshmi.naidu6,EMP0006,PC-SAL-006,budget.xlsx,Rename,0,0
F000103,2026-01-16 15:23:14,lakshmi.naidu6,EMP0006,PC-SAL-006,presentation.pptx,Rename,0,0
F000104,2026-02-14 09:46:56,swati.das7,EMP0007,PC-R&D-007,presentation.pptx,Rename,0,0
F000105,2026-01-06 10:32:04,swati.das7,EMP0007,PC-R&D-007,meeting_notes.pdf,Write,0,0
F000106,2026-02-08 09:50:26,swati.das7,EMP0007,PC-R&D-007,budget.xlsx,Copy,0,0
F000107,2026-02-04 09:58:26,swati.das7,EMP0007,PC-R&D-007,design_spec.docx,Copy,0,0
F000108,2026-02-08 09:18:21,swati.das7,EMP0007,PC-R&D-007,meeting_notes.pdf,Open,0,0
F000109,2026-01-06 11:32:09,swati.das7,EMP0007,PC-R&D-007,source_code.py,Write,0,0
F000110,2026-02-10 16:12:57,swati.das7,EMP0007,PC-R&D-007,budget.xlsx,Write,0,0
F000111,2026-01-01 08:26:16,swati.das7,EMP0007,PC-R&D-007,timesheet.xlsx,Write,0,0
F000112,2026-01-07 07:02:53,swati.das7,EMP0007,PC-R&D-007,presentation.pptx,Open,0,0
F000113,2026-02-14 08:04:08,swati.das7,EMP0007,PC-R&D-007,source_code.py,Write,0,0
F000114,2026-01-28 10:25:44,swati.das7,EMP0007,PC-R&D-007,source_code.py,Copy,0,0
F000115,2026-01-19 07:57:52,swati.das7,EMP0007,PC-R&D-007,meeting_notes.pdf,Open,0,0
F000116,2026-01-03 06:58:22,swati.das7,EMP0007,PC-R&D-007,presentation.pptx,Write,0,0
F000117,2026-01-28 09:30:44,deepak.gupta8,EMP0008,PC-LEG-008,budget.xlsx,Copy,0,0
F000118,2026-02-07 17:59:32,deepak.gupta8,EMP0008,PC-LEG-008,report.docx,Copy,0,0
F000119,2026-01-01 13:23:43,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Write,0,0
F000120,2026-01-25 10:11:32,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Rename,0,0
F000121,2026-01-07 09:31:21,deepak.gupta8,EMP0008,PC-LEG-008,report.docx,Write,0,0
F000122,2026-01-19 10:20:48,deepak.gupta8,EMP0008,PC-LEG-008,budget.xlsx,Copy,0,0
F000123,2026-01-03 15:47:56,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Copy,0,0
F000124,2026-01-28 12:36:56,deepak.gupta8,EMP0008,PC-LEG-008,source_code.py,Rename,0,0
F000125,2026-01-07 10:10:07,deepak.gupta8,EMP0008,PC-LEG-008,meeting_notes.pdf,Rename,0,0
F000126,2026-02-01 11:56:10,deepak.gupta8,EMP0008,PC-LEG-008,meeting_notes.pdf,Rename,0,0
F000127,2026-02-08 15:59:14,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Rename,0,0
F000128,2026-01-10 07:35:53,deepak.gupta8,EMP0008,PC-LEG-008,source_code.py,Copy,0,0
F000129,2026-01-02 13:02:57,deepak.gupta8,EMP0008,PC-LEG-008,source_code.py,Copy,0,0
F000130,2026-01-01 12:52:01,deepak.gupta8,EMP0008,PC-LEG-008,meeting_notes.pdf,Copy,0,0
F000131,2026-01-19 18:36:27,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Write,0,0
F000132,2026-02-03 07:29:18,deepak.gupta8,EMP0008,PC-LEG-008,report.docx,Open,0,0
F000133,2026-01-29 17:31:16,deepak.gupta8,EMP0008,PC-LEG-008,report.docx,Copy,0,0
F000134,2026-01-18 14:07:22,deepak.gupta8,EMP0008,PC-LEG-008,timesheet.xlsx,Open,0,0
F000135,2026-01-15 14:20:10,deepak.gupta8,EMP0008,PC-LEG-008,source_code.py,Rename,0,0
F000136,2026-01-18 11:47:32,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Open,0,0
F000137,2026-02-14 09:59:02,deepak.gupta8,EMP0008,PC-LEG-008,presentation.pptx,Open,0,0
F000138,2026-02-03 09:53:35,deepak.gupta8,EMP0008,PC-LEG-008,design_spec.docx,Open,0,0
F000139,2026-02-10 13:15:08,deepak.gupta8,EMP0008,PC-LEG-008,source_code.py,Write,0,0
F000140,2026-01-15 14:16:30,deepak.gupta8,EMP0008,PC-LEG-008,budget.xlsx,Write,0,0
F000141,2026-02-01 09:12:40,anjali.nair9,EMP0009,PC-FIN-009,report.docx,Copy,0,0
F000142,2026-01-01 11:31:35,anjali.nair9,EMP0009,PC-FIN-009,source_code.py,Copy,0,0
F000143,2026-01-12 04:44:16,anjali.nair9,EMP0009,PC-FIN-009,source_code.py,Write,0,0
F000144,2026-02-10 13:40:22,anjali.nair9,EMP0009,PC-FIN-009,presentation.pptx,Copy,0,0
F000145,2026-01-20 16:56:18,anjali.nair9,EMP0009,PC-FIN-009,design_spec.docx,Write,0,0
F000146,2026-02-01 15:25:38,anjali.nair9,EMP0009,PC-FIN-009,meeting_notes.pdf,Write,0,0
F000147,2026-01-19 07:07:56,anjali.nair9,EMP0009,PC-FIN-009,timesheet.xlsx,Rename,0,0
F000148,2026-01-27 20:20:15,anjali.nair9,EMP0009,PC-FIN-009,design_spec.docx,Write,0,0
F000149,2026-01-08 08:20:42,anjali.nair9,EMP0009,PC-FIN-009,report.docx,Rename,0,0
F000150,2026-02-14 10:08:49,anjali.nair9,EMP0009,PC-FIN-009,presentation.pptx,Write,0,0
F000151,2026-02-08 11:15:01,anjali.nair9,EMP0009,PC-FIN-009,meeting_notes.pdf,Rename,0,0
F000152,2026-02-02 08:54:50,anjali.nair9,EMP0009,PC-FIN-009,presentation.pptx,Open,0,0
F000153,2026-02-05 15:16:43,anjali.nair9,EMP0009,PC-FIN-009,meeting_notes.pdf,Write,0,0
F000154,2026-01-26 15:27:25,anjali.nair9,EMP0009,PC-FIN-009,meeting_notes.pdf,Open,0,0
F000155,2026-01-18 11:14:21,anjali.nair9,EMP0009,PC-FIN-009,design_spec.docx,Open,0,0
F000156,2026-01-29 11:36:56,sneha.joshi10,EMP0010,PC-ENG-010,budget.xlsx,Copy,0,0
F000157,2026-02-10 07:39:39,sneha.joshi10,EMP0010,PC-ENG-010,meeting_notes.pdf,Copy,0,0
F000158,2026-02-08 12:46:01,sneha.joshi10,EMP0010,PC-ENG-010,timesheet.xlsx,Write,0,0
F000159,2026-01-06 15:21:58,sneha.joshi10,EMP0010,PC-ENG-010,meeting_notes.pdf,Open,0,0
F000160,2026-02-11 05:13:23,sneha.joshi10,EMP0010,PC-ENG-010,source_code.py,Copy,0,0
F000161,2026-01-11 16:25:55,sneha.joshi10,EMP0010,PC-ENG-010,design_spec.docx,Copy,0,0
F000162,2026-01-19 15:58:23,sneha.joshi10,EMP0010,PC-ENG-010,meeting_notes.pdf,Write,0,0
F000163,2026-01-14 12:15:00,sneha.joshi10,EMP0010,PC-ENG-010,report.docx,Open,0,0
F000164,2026-02-03 07:25:50,sneha.joshi10,EMP0010,PC-ENG-010,presentation.pptx,Open,0,0
F000165,2026-01-11 09:01:14,sneha.joshi10,EMP0010,PC-ENG-010,design_spec.docx,Copy,0,0
F000166,2026-01-03 09:07:52,sneha.joshi10,EMP0010,PC-ENG-010,timesheet.xlsx,Write,0,0
F000167,2026-02-11 10:52:47,sneha.joshi10,EMP0010,PC-ENG-010,meeting_notes.pdf,Open,0,0
F000168,2026-01-05 06:46:45,sneha.joshi10,EMP0010,PC-ENG-010,timesheet.xlsx,Write,0,0
F000169,2026-01-02 01:53:34,sneha.joshi10,EMP0010,PC-ENG-010,source_code.py,Copy,0,0
F000170,2026-01-07 14:50:25,sneha.joshi10,EMP0010,PC-ENG-010,budget.xlsx,Rename,0,0
F000171,2026-01-21 11:47:01,sneha.joshi10,EMP0010,PC-ENG-010,meeting_notes.pdf,Rename,0,0
F000172,2026-01-30 08:16:41,sneha.joshi10,EMP0010,PC-ENG-010,source_code.py,Write,0,0
F000173,2026-01-25 09:05:14,sneha.joshi10,EMP0010,PC-ENG-010,presentation.pptx,Rename,0,0
F000174,2026-01-31 09:44:34,sneha.joshi10,EMP0010,PC-ENG-010,source_code.py,Copy,0,0
F000175,2026-01-02 23:46:25,rahul.bhatt11,EMP0011,PC-HR-011,meeting_notes.pdf,Open,0,0
F000176,2026-01-29 08:01:25,rahul.bhatt11,EMP0011,PC-HR-011,timesheet.xlsx,Copy,0,0
F000177,2026-01-29 10:36:06,rahul.bhatt11,EMP0011,PC-HR-011,design_spec.docx,Rename,0,0
F000178,2026-01-22 08:40:05,rahul.bhatt11,EMP0011,PC-HR-011,report.docx,Copy,0,0
F000179,2026-01-14 16:31:37,rahul.bhatt11,EMP0011,PC-HR-011,budget.xlsx,Open,0,0
F000180,2026-01-10 11:53:30,rahul.bhatt11,EMP0011,PC-HR-011,source_code.py,Copy,0,0
F000181,2026-01-04 15:16:26,rahul.bhatt11,EMP0011,PC-HR-011,meeting_notes.pdf,Rename,0,0
F000182,2026-01-10 03:44:36,rahul.bhatt11,EMP0011,PC-HR-011,source_code.py,Write,0,0
F000183,2026-01-01 09:13:48,rahul.bhatt11,EMP0011,PC-HR-011,source_code.py,Write,0,0
F000184,2026-02-04 12:41:15,rahul.bhatt11,EMP0011,PC-HR-011,meeting_notes.pdf,Write,0,0
F000185,2026-01-31 12:54:47,rahul.bhatt11,EMP0011,PC-HR-011,design_spec.docx,Open,0,0
F000186,2026-01-07 11:04:24,rahul.bhatt11,EMP0011,PC-HR-011,budget.xlsx,Open,0,0
F000187,2026-01-11 12:07:10,rahul.bhatt11,EMP0011,PC-HR-011,budget.xlsx,Write,0,0
F000188,2026-01-08 04:27:31,rahul.bhatt11,EMP0011,PC-HR-011,budget.xlsx,Write,0,0
F000189,2026-01-09 15:35:26,rahul.bhatt11,EMP0011,PC-HR-011,presentation.pptx,Open,0,0
F000190,2026-01-19 07:18:46,rahul.bhatt11,EMP0011,PC-HR-011,design_spec.docx,Rename,0,0
F000191,2026-02-03 10:56:23,rahul.bhatt11,EMP0011,PC-HR-011,source_code.py,Copy,0,0
F000192,2026-01-10 09:43:13,rahul.bhatt11,EMP0011,PC-HR-011,timesheet.xlsx,Rename,0,0
F000193,2026-02-03 13:30:29,rahul.bhatt11,EMP0011,PC-HR-011,budget.xlsx,Rename,0,0
F000194,2026-01-09 08:45:53,rahul.bhatt11,EMP0011,PC-HR-011,presentation.pptx,Open,0,0
F000195,2026-01-21 11:09:30,rahul.bhatt11,EMP0011,PC-HR-011,report.docx,Open,0,0
F000196,2026-01-20 14:12:44,rahul.bhatt11,EMP0011,PC-HR-011,report.docx,Write,0,0
F000197,2026-01-07 06:29:38,neha.naidu12,EMP0012,PC-ENG-012,budget.xlsx,Open,0,0
F000198,2026-01-23 13:56:14,neha.naidu12,EMP0012,PC-ENG-012,meeting_notes.pdf,Open,0,0
F000199,2026-01-13 09:52:58,neha.naidu12,EMP0012,PC-ENG-012,timesheet.xlsx,Write,0,0
F000200,2026-02-07 14:23:39,neha.naidu12,EMP0012,PC-ENG-012,timesheet.xlsx,Write,0,0
F000201,2026-01-17 13:41:42,neha.naidu12,EMP0012,PC-ENG-012,budget.xlsx,Open,0,0
F000202,2026-02-07 08:46:13,neha.naidu12,EMP0012,PC-ENG-012,meeting_notes.pdf,Copy,0,0
F000203,2026-01-17 13:08:51,neha.naidu12,EMP0012,PC-ENG-012,source_code.py,Write,0,0
F000204,2026-01-22 13:54:37,neha.naidu12,EMP0012,PC-ENG-012,source_code.py,Rename,0,0
F000205,2026-02-09 14:30:13,neha.naidu12,EMP0012,PC-ENG-012,budget.xlsx,Open,0,0
F000206,2026-01-15 22:05:59,neha.naidu12,EMP0012,PC-ENG-012,timesheet.xlsx,Copy,0,0
F000207,2026-01-10 08:55:00,neha.naidu12,EMP0012,PC-ENG-012,meeting_notes.pdf,Open,0,0
F000208,2026-01-04 08:51:28,neha.naidu12,EMP0012,PC-ENG-012,presentation.pptx,Write,0,0
F000209,2026-01-21 09:48:07,neha.naidu12,EMP0012,PC-ENG-012,budget.xlsx,Write,0,0
F000210,2026-01-25 15:45:30,neha.naidu12,EMP0012,PC-ENG-012,meeting_notes.pdf,Rename,0,0
F000211,2026-02-03 09:05:56,neha.naidu12,EMP0012,PC-ENG-012,source_code.py,Copy,0,0
F000212,2026-01-11 19:53:17,neha.naidu12,EMP0012,PC-ENG-012,design_spec.docx,Copy,0,0
F000213,2026-01-28 12:31:44,neha.naidu12,EMP0012,PC-ENG-012,timesheet.xlsx,Rename,0,0
F000214,2026-02-13 07:57:27,neha.naidu12,EMP0012,PC-ENG-012,design_spec.docx,Rename,0,0
F000215,2026-01-12 02:23:54,neha.naidu12,EMP0012,PC-ENG-012,presentation.pptx,Rename,0,0
F000216,2026-01-28 08:35:56,neha.naidu12,EMP0012,PC-ENG-012,budget.xlsx,Write,0,0
F000217,2026-01-12 18:00:12,manoj.khan13,EMP0013,PC-R&D-013,presentation.pptx,Rename,0,0
F000218,2026-02-03 08:37:19,manoj.khan13,EMP0013,PC-R&D-013,meeting_notes.pdf,Open,0,0
F000219,2026-01-24 17:32:58,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Rename,0,0
F000220,2026-01-03 14:41:30,manoj.khan13,EMP0013,PC-R&D-013,presentation.pptx,Open,0,0
F000221,2026-02-14 14:17:40,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Open,0,0
F000222,2026-01-31 23:40:29,manoj.khan13,EMP0013,PC-R&D-013,presentation.pptx,Copy,0,0
F000223,2026-01-31 15:41:48,manoj.khan13,EMP0013,PC-R&D-013,source_code.py,Open,0,0
F000224,2026-01-03 10:39:57,manoj.khan13,EMP0013,PC-R&D-013,design_spec.docx,Copy,0,0
F000225,2026-01-12 16:08:05,manoj.khan13,EMP0013,PC-R&D-013,presentation.pptx,Open,0,0
F000226,2026-01-04 11:45:03,manoj.khan13,EMP0013,PC-R&D-013,meeting_notes.pdf,Open,0,0
F000227,2026-02-04 09:54:12,manoj.khan13,EMP0013,PC-R&D-013,design_spec.docx,Open,0,0
F000228,2026-01-22 16:54:57,manoj.khan13,EMP0013,PC-R&D-013,meeting_notes.pdf,Copy,0,0
F000229,2026-02-07 14:23:33,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Write,0,0
F000230,2026-01-27 16:42:03,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Copy,0,0
F000231,2026-02-02 08:17:05,manoj.khan13,EMP0013,PC-R&D-013,budget.xlsx,Write,0,0
F000232,2026-01-03 09:12:44,manoj.khan13,EMP0013,PC-R&D-013,source_code.py,Write,0,0
F000233,2026-01-12 13:53:53,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Rename,0,0
F000234,2026-01-18 12:07:21,manoj.khan13,EMP0013,PC-R&D-013,presentation.pptx,Open,0,0
F000235,2026-02-06 18:05:07,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Copy,0,0
F000236,2026-01-06 08:37:40,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Copy,0,0
F000237,2026-01-01 08:23:29,manoj.khan13,EMP0013,PC-R&D-013,report.docx,Copy,0,0
F000238,2026-02-13 17:12:47,meera.reddy14,EMP0014,PC-ENG-014,timesheet.xlsx,Copy,0,0
F000239,2026-01-20 04:11:17,meera.reddy14,EMP0014,PC-ENG-014,client_database.csv,Copy,1,1
F000240,2026-01-13 03:11:18,meera.reddy14,EMP0014,PC-ENG-014,source_code_core.zip,Copy,1,1
F000241,2026-02-01 05:22:49,meera.reddy14,EMP0014,PC-ENG-014,customer_pii.csv,Write,1,1
F000242,2026-02-13 03:53:37,meera.reddy14,EMP0014,PC-ENG-014,presentation.pptx,Copy,0,0
F000243,2026-02-04 23:27:22,meera.reddy14,EMP0014,PC-ENG-014,design_spec.docx,Rename,0,0
F000244,2026-01-14 04:05:32,meera.reddy14,EMP0014,PC-ENG-014,client_database.csv,Copy,1,1
F000245,2026-01-17 01:33:42,meera.reddy14,EMP0014,PC-ENG-014,customer_pii.csv,Copy,1,1
F000246,2026-01-30 10:24:42,meera.reddy14,EMP0014,PC-ENG-014,source_code.py,Open,0,0
F000247,2026-01-21 13:55:57,meera.reddy14,EMP0014,PC-ENG-014,report.docx,Copy,0,0
F000248,2026-01-27 10:57:06,meera.reddy14,EMP0014,PC-ENG-014,budget.xlsx,Rename,0,0
